"model","parameter","mean","q025","median","q975"
"OU","mu",0.0554217584110815,0.048138579537903,0.0553033190350103,0.0633333390053918
"OU","K",1.3223049094907,1.12035797681882,1.31762859729107,1.54961243138691
"OU","alpha",1.96268171815143,1.94196089043891,1.96264574804797,1.98347694723922
"OU","c",0.0212210444764795,0.0172373985885468,0.0211246079904317,0.0257286010853749
"OU","p",1.22185584275868,1.20295334784113,1.22171656818655,1.2414321925914
"MSE","mu",0.059337148834057,0.0517889435381873,0.0592188335317421,0.0675113809271766
"MSE","K",1.40265214310982,1.12597561698645,1.39413403876195,1.72611661052653
"MSE","alpha",1.96719333343393,1.94643168663425,1.96715730285918,1.98802946903465
"MSE","d",0.0169945404973193,0.011463610629859,0.0167367131377525,0.0239589526720205
"MSE","rho",4.70700211553314,2.14254242336305,4.39921879973386,9.0282975854127
"MSE","gamma",0.0596115379797725,0.0250985818288166,0.0563615977484318,0.11235920233146
"RS","mu",0.0903052261682442,0.0809115129743149,0.0901876630079778,0.10030907397846
"RS","K",2.28523218971143,1.80564039945448,2.26937809674416,2.85214191971176
"RS","alpha",1.98002789619013,1.95889363202479,1.97999100784459,2.00123918796733
"RS","1-B",7.44725999429763e-05,5.48297709408452e-05,7.36541910530963e-05,9.8944029635506e-05
"RS","ta",66.9723784303935,59.7224088319012,66.8557831354496,74.8405744436295
