"model","parameter","mean","q025","median","q975"
"OU","mu",0.0554217584697346,0.0481385779039162,0.0553033190377576,0.0633333410642683
"OU","K",1.3223049099439,1.12035797769124,1.31762859776636,1.54961243129796
"OU","alpha",1.96268172053443,1.94196089304818,1.96264575043161,1.98347694939379
"OU","c",0.0212210442689509,0.0172373984310588,0.0211246077843561,0.0257286008198432
"OU","p",1.22185584168148,1.2029533468776,1.22171656710999,1.24143219139756
"MSE","mu",0.0593371490765704,0.0517889438607912,0.0592188337773237,0.0675113810726224
"MSE","K",1.40265206852243,1.12597555415323,1.39413396443246,1.72611652278999
"MSE","alpha",1.96719333291525,1.94643168588108,1.9671573023399,1.98802946875261
"MSE","d",0.0169945423109974,0.0114636119065694,0.016736714931006,0.023958955135472
"MSE","rho",4.70700302313528,2.14254287588869,4.39921966072578,9.02829921279857
"MSE","gamma",0.0596115264594862,0.0250985764977194,0.0563615866462523,0.112359182307914
"RS","mu",0.0903052268842544,0.0809115126169898,0.0901876636981186,0.100309075908325
"RS","K",2.28523211300908,1.80564034550694,2.26937802104846,2.85214181465916
"RS","alpha",1.98002789772824,1.95889363353298,1.97999100938262,2.00123918953555
"RS","1-B",7.447260447635e-05,5.48297736189252e-05,7.36541954727832e-05,9.89440367273886e-05
"RS","ta",66.9723767408196,59.7224074174806,66.8557814518286,74.8405724467222
