"model","quantity","time","q025","median","q975"
"Omori–Utsu","Unnormalised decay, g(t)",0,1,1,1
"Omori–Utsu","Unnormalised decay, g(t)",0.001,0.93391705317298,0.945027528258197,0.953987966652668
"Omori–Utsu","Unnormalised decay, g(t)",0.00105031807974833,0.930803203948818,0.942407255520837,0.951773839205117
"Omori–Utsu","Unnormalised decay, g(t)",0.00110316806864623,0.927553065817026,0.939669376171761,0.949458271691885
"Omori–Utsu","Unnormalised decay, g(t)",0.00115867736750019,0.924161676551098,0.936809320917317,0.94703711870541
"Omori–Utsu","Unnormalised decay, g(t)",0.00121697978768065,0.920623989723438,0.933821812929595,0.944506114786985
"Omori–Utsu","Unnormalised decay, g(t)",0.00127821587368928,0.916934883363417,0.93070242311667,0.941860876012314
"Omori–Utsu","Unnormalised decay, g(t)",0.00134253324195716,0.913089169832693,0.927446403752312,0.939096902232401
"Omori–Utsu","Unnormalised decay, g(t)",0.00141008693669075,0.909081606993793,0.924048721090465,0.936209580034086
"Omori–Utsu","Unnormalised decay, g(t)",0.00148103980362324,0.904906910746568,0.92050404948046,0.933194186487601
"Omori–Utsu","Unnormalised decay, g(t)",0.00155556288257241,0.900559769004648,0.916808164172096,0.930045893751353
"Omori–Utsu","Unnormalised decay, g(t)",0.00163383581975124,0.896034857180404,0.912955274403715,0.926759774606682
"Omori–Utsu","Unnormalised decay, g(t)",0.00171604730082517,0.891326855241835,0.908940115034298,0.923330808997513
"Omori–Utsu","Unnormalised decay, g(t)",0.00180239550576001,0.886430466398297,0.90475737784287,0.919753891651514
"Omori–Utsu","Unnormalised decay, g(t)",0.00189308858655688,0.881340437463745,0.900402170037806,0.916023856276522
"Omori–Utsu","Unnormalised decay, g(t)",0.00198834516902591,0.87605158093617,0.895869122482737,0.91213655993022
"Omori–Utsu","Unnormalised decay, g(t)",0.00208839487980817,0.870558798819922,0.891153480759346,0.908085730529593
"Omori–Utsu","Unnormalised decay, g(t)",0.00219347889991637,0.86485710820359,0.886248067336809,0.903866036809549
"Omori–Utsu","Unnormalised decay, g(t)",0.00230385054612865,0.858940391096153,0.881147656870807,0.89947212034797
"Omori–Utsu","Unnormalised decay, g(t)",0.002419775881637,0.852804163728111,0.875847503467112,0.894898611327987
"Omori–Utsu","Unnormalised decay, g(t)",0.00254153435742231,0.846444772427219,0.87034247511503,0.890140145897825
"Omori–Utsu","Unnormalised decay, g(t)",0.00266941948590221,0.839857963910364,0.86462800740898,0.885191385186071
"Omori–Utsu","Unnormalised decay, g(t)",0.0028037395484756,0.833039752599431,0.85869921224282,0.880047036021896
"Omori–Utsu","Unnormalised decay, g(t)",0.00294481833866936,0.825986455999446,0.852552088507349,0.874701873399538
"Omori–Utsu","Unnormalised decay, g(t)",0.00309299594267888,0.818694731355253,0.846181500802806,0.869150729083647
"Omori–Utsu","Unnormalised decay, g(t)",0.00324862955918387,0.811161613407828,0.839585181286477,0.8633885689386
"Omori–Utsu","Unnormalised decay, g(t)",0.00341209436041568,0.803384603809966,0.832758232995184,0.857410569537164
"Omori–Utsu","Unnormalised decay, g(t)",0.00358378439655192,0.795361564314524,0.825692873950156,0.851212037820855
"Omori–Utsu","Unnormalised decay, g(t)",0.00376411354561846,0.787090895986144,0.818385323490032,0.844788487745848
"Omori–Utsu","Unnormalised decay, g(t)",0.00395351651118867,0.778571535293498,0.810835911932305,0.838135064902286
"Omori–Utsu","Unnormalised decay, g(t)",0.00415244987028502,0.769802992839527,0.803046814070006,0.831242084867048
"Omori–Utsu","Unnormalised decay, g(t)",0.00436139317400899,0.760785392044006,0.795013593716943,0.824111411012846
"Omori–Utsu","Unnormalised decay, g(t)",0.00458085010355261,0.751519506715539,0.786729981191666,0.816739674034949
"Omori–Utsu","Unnormalised decay, g(t)",0.00481134968437834,0.74200679706763,0.778200050926078,0.809123889097276
"Omori–Utsu","Unnormalised decay, g(t)",0.00505344756149402,0.732249443708602,0.769419455683926,0.801261495289125
"Omori–Utsu","Unnormalised decay, g(t)",0.0053077273388973,0.72225053927909,0.7603829322994,0.79315039575735
"Omori–Utsu","Unnormalised decay, g(t)",0.00557480198641835,0.712013775926709,0.751096567650248,0.784788998227799
"Omori–Utsu","Unnormalised decay, g(t)",0.00585531531735212,0.701543557812923,0.741565459505648,0.776183079608595
"Omori–Utsu","Unnormalised decay, g(t)",0.00614994354044229,0.690845229800004,0.731791455264328,0.767329918636461
"Omori–Utsu","Unnormalised decay, g(t)",0.00645939688995802,0.67992497908741,0.721776233773918,0.758231566022588
"Omori–Utsu","Unnormalised decay, g(t)",0.00678442133779308,0.668791901111174,0.711517654602251,0.748889194037104
"Omori–Utsu","Unnormalised decay, g(t)",0.00712580039171445,0.657470372593078,0.701023104330889,0.739299752262926
"Omori–Utsu","Unnormalised decay, g(t)",0.00748435698409545,0.645952305929823,0.690288787384902,0.729465641050198
"Omori–Utsu","Unnormalised decay, g(t)",0.00786095545568617,0.634247534315014,0.679337066852545,0.71938997842128
"Omori–Utsu","Unnormalised decay, g(t)",0.00825650363920349,0.622342869082762,0.668184393508938,0.709076672306993
"Omori–Utsu","Unnormalised decay, g(t)",0.00867195504776335,0.610269536939975,0.6568143166325,0.698528533335591
"Omori–Utsu","Unnormalised decay, g(t)",0.00910831117343068,0.598065132473465,0.6452480742833,0.687736171652397
