"truth_form","fitted_form","converged","n","median_runtime","q25_runtime","q75_runtime"
"ou","ou",TRUE,100,3.67352733413379,2.69417600035667,5.37821942567825
"ou","mse",FALSE,3,35.3717050989469,35.0115000406901,36.312451249361
"ou","mse",TRUE,97,6.17767878373464,4.71310221751531,10.8163704673449
"ou","rate_state",TRUE,100,6.29942268331846,2.75436487495899,11.9107302188873
"mse","ou",TRUE,100,3.7446200589339,1.88105792899926,6.49438189665477
"mse","mse",TRUE,100,4.5611438413461,2.51807622015476,8.70406860907872
"mse","rate_state",FALSE,100,13.1770854830742,8.51562107404073,21.3399710228045
"rate_state","ou",TRUE,100,3.61127160986265,2.29290917515755,5.24992788732052
"rate_state","mse",FALSE,16,14.1981316586335,9.74003361662228,18.1773047814767
"rate_state","mse",TRUE,84,6.18277631600698,4.01066278517246,9.39881700972716
"rate_state","rate_state",TRUE,100,4.19349066615104,2.3272299538056,6.13781637946765
