"criterion","truth_form","competitor_form","comparison","n","n_truth_favoured","prop_truth_favoured","median_delta","q10_delta","q90_delta"
"DIC","mse","ou","MSE truth vs OU",100,100,1,230.334642608419,172.919202464926,391.586080245475
"DIC","ou","mse","OU truth vs MSE",97,0,0,-61.7132135563552,-105.062246032475,-34.7771349850314
"DIC","ou","rate_state","OU truth vs RS",100,0,0,-563.241970499079,-967.736345861526,-367.021849832717
"DIC","rate_state","mse","RS truth vs MSE",84,84,1,189.214928583178,129.583012257952,283.965376493153
"DIC","rate_state","ou","RS truth vs OU",100,100,1,364.006793913668,264.742788137158,526.560996883882
"LML","mse","ou","MSE truth vs OU",100,99,0.99,13.8152913322219,3.93894881599153,31.9984594533999
"LML","ou","mse","OU truth vs MSE",97,96,0.989690721649485,3.3379212133259,1.97159834369377,4.22938271414096
"LML","ou","rate_state","OU truth vs RS",100,100,1,48.4069503910268,26.594517459762,96.3190323788462
"LML","rate_state","mse","RS truth vs MSE",84,84,1,14.5090109046669,9.37638032240375,21.1326962627849
"LML","rate_state","ou","RS truth vs OU",100,100,1,46.5682707949964,23.6162717251258,79.5794175405074
