"truth_form","parameter","n","truth","bias","rmse","relative_bias","relative_rmse","coverage","median_ci_width","relative_ci_width"
"mse","K",100,0.69731359018683,-0.0336401193733448,0.0933502988401885,-0.0482424548248538,0.133871331570029,0.8,0.229717892835144,0.329432691500528
"mse","alpha",100,1.89,0.0087732443723605,0.0273757483290058,0.00464192823934418,0.0144845229253999,0.57,0.0461836210228609,0.024435778318974
"mse","d",100,0.03,0.00172800767743719,0.00738173231448454,0.057600255914573,0.246057743816152,0.89,0.0222867595114775,0.742891983715918
"mse","gamma",100,0.22,0.000604364050681139,0.0270187151533859,0.0027471093212779,0.1228123416063,0.75,0.0629520176829273,0.286145534922397
"mse","mu",100,0.073,0.000139441908352643,0.00511963059608753,0.0019101631281184,0.0701319259738017,0.9,0.0174306243600787,0.238775676165462
"mse","rho",100,1.95928918754142,0.029058933460329,0.280395374627871,0.0148313651936155,0.143110765072776,0.83,0.692232291767569,0.35330787112453
"ou","K",100,0.69731359018683,-0.0239630720677038,0.080768155588862,-0.034364843027487,0.115827594249557,0.81,0.217778379383568,0.312310533522255
"ou","alpha",100,1.89,0.00223715763458655,0.0269327330920241,0.00118368128814103,0.0142501233291133,0.58,0.0472515046792945,0.0250007961266109
"ou","c",100,0.03,0.0018575243516273,0.00393986454657731,0.0619174783875768,0.131328818219244,0.87,0.0128112182737054,0.427040609123514
"ou","mu",100,0.073,0.00397579885445637,0.0091681571146543,0.0544629980062517,0.125591193351429,0.7,0.0179401726112904,0.245755789195758
"ou","p",100,1.17,0.00650522314254876,0.0155764484827763,0.00556001977995621,0.0133132038314328,0.76,0.0379914101345952,0.0324712907133292
"rate_state","1-B",100,8.54671406689267e-05,1.42554214997814e-05,2.43019812041734e-05,0.16679417830301,0.284342976891105,0.72,5.14741733635415e-05,0.602268579019586
"rate_state","K",100,0.69731359018683,-0.0428378057852443,0.0954642521527598,-0.0614326271394865,0.136902899206628,0.84,0.256518382520127,0.367866604251035
"rate_state","alpha",100,1.89,0.00220493206044488,0.0299819953906787,0.00116663071981211,0.0158634896246977,0.51,0.0472697169326718,0.0250104322395089
"rate_state","mu",100,0.073,0.00225506878955059,0.00765427413322164,0.0308913532815149,0.104853070318105,0.78,0.0177458521159901,0.243093864602604
"rate_state","ta",100,188,-9.84437755398231,26.1392422564052,-0.0523637103935229,0.139038522640453,0.62,40.3972021428094,0.214878734802178
