"truth_kernel","fitted_kernel","binning","coef_t","delta_t","N_max","n_fit","runtime_minutes","converged","hit_max","n_iter","file"
"ou","ou","N8",1,0.1,8,2013,1.02948908408483,TRUE,FALSE,30,"truth_ou_fit_ou_N8.rds"
"ou","ou","N10",1,0.1,10,2013,0.928621649742126,TRUE,FALSE,23,"truth_ou_fit_ou_N10.rds"
"ou","ou","N12",1,0.1,12,2013,0.873697499434153,TRUE,FALSE,23,"truth_ou_fit_ou_N12.rds"
"ou","ou","N14",1,0.1,14,2013,1.23557283083598,TRUE,FALSE,23,"truth_ou_fit_ou_N14.rds"
"ou","ou","N16",1,0.1,16,2013,0.896033199628194,TRUE,FALSE,23,"truth_ou_fit_ou_N16.rds"
"mse","mse","N8",1,0.1,8,2976,2.09776741663615,TRUE,FALSE,34,"truth_mse_fit_mse_N8.rds"
"mse","mse","N10",1,0.1,10,2976,2.17359640200933,TRUE,FALSE,34,"truth_mse_fit_mse_N10.rds"
"mse","mse","N12",1,0.1,12,2976,2.40578380028407,TRUE,FALSE,34,"truth_mse_fit_mse_N12.rds"
"mse","mse","N14",1,0.1,14,2976,2.66537518501282,TRUE,FALSE,31,"truth_mse_fit_mse_N14.rds"
"mse","mse","N16",1,0.1,16,2976,2.73399418195089,TRUE,FALSE,31,"truth_mse_fit_mse_N16.rds"
"rate_state","rate_state","N8",1,0.1,8,2221,1.06358843247096,TRUE,FALSE,25,"truth_rate_state_fit_rate_state_N8.rds"
"rate_state","rate_state","N10",1,0.1,10,2221,1.23897491296132,TRUE,FALSE,26,"truth_rate_state_fit_rate_state_N10.rds"
"rate_state","rate_state","N12",1,0.1,12,2221,1.72050780057907,TRUE,FALSE,37,"truth_rate_state_fit_rate_state_N12.rds"
"rate_state","rate_state","N14",1,0.1,14,2221,1.69967853228251,TRUE,FALSE,40,"truth_rate_state_fit_rate_state_N14.rds"
"rate_state","rate_state","N16",1,0.1,16,2221,1.91085088650386,TRUE,FALSE,40,"truth_rate_state_fit_rate_state_N16.rds"
