"truth_form","rep","catalogue_seed","fitted_form","fit_seed"
"ou",1,1001,"ou",1000001
"ou",1,1001,"mse",1000002
"ou",1,1001,"rate_state",1000003
"ou",2,1002,"ou",1000004
"ou",2,1002,"mse",1000005
"ou",2,1002,"rate_state",1000006
"ou",3,1003,"ou",1000007
"ou",3,1003,"mse",1000008
"ou",3,1003,"rate_state",1000009
"ou",4,1004,"ou",1000010
"ou",4,1004,"mse",1000011
"ou",4,1004,"rate_state",1000012
"ou",5,1005,"ou",1000013
"ou",5,1005,"mse",1000014
"ou",5,1005,"rate_state",1000015
"ou",6,1006,"ou",1000016
"ou",6,1006,"mse",1000017
"ou",6,1006,"rate_state",1000018
"ou",7,1007,"ou",1000019
"ou",7,1007,"mse",1000020
"ou",7,1007,"rate_state",1000021
"ou",8,1008,"ou",1000022
"ou",8,1008,"mse",1000023
"ou",8,1008,"rate_state",1000024
"ou",9,1009,"ou",1000025
"ou",9,1009,"mse",1000026
"ou",9,1009,"rate_state",1000027
"ou",10,1010,"ou",1000028
"ou",10,1010,"mse",1000029
"ou",10,1010,"rate_state",1000030
"ou",11,1011,"ou",1000031
"ou",11,1011,"mse",1000032
"ou",11,1011,"rate_state",1000033
"ou",12,1012,"ou",1000034
"ou",12,1012,"mse",1000035
"ou",12,1012,"rate_state",1000036
"ou",13,1013,"ou",1000037
"ou",13,1013,"mse",1000038
"ou",13,1013,"rate_state",1000039
"ou",14,1014,"ou",1000040
"ou",14,1014,"mse",1000041
"ou",14,1014,"rate_state",1000042
"ou",15,1015,"ou",1000043
"ou",15,1015,"mse",1000044
"ou",15,1015,"rate_state",1000045
"ou",16,1016,"ou",1000046
"ou",16,1016,"mse",1000047
"ou",16,1016,"rate_state",1000048
"ou",17,1017,"ou",1000049
"ou",17,1017,"mse",1000050
"ou",17,1017,"rate_state",1000051
"ou",18,1018,"ou",1000052
"ou",18,1018,"mse",1000053
"ou",18,1018,"rate_state",1000054
"ou",19,1019,"ou",1000055
"ou",19,1019,"mse",1000056
"ou",19,1019,"rate_state",1000057
"ou",20,1020,"ou",1000058
"ou",20,1020,"mse",1000059
"ou",20,1020,"rate_state",1000060
"ou",21,1021,"ou",1000061
"ou",21,1021,"mse",1000062
"ou",21,1021,"rate_state",1000063
"ou",22,1022,"ou",1000064
"ou",22,1022,"mse",1000065
"ou",22,1022,"rate_state",1000066
"ou",23,1023,"ou",1000067
"ou",23,1023,"mse",1000068
"ou",23,1023,"rate_state",1000069
"ou",24,1024,"ou",1000070
"ou",24,1024,"mse",1000071
"ou",24,1024,"rate_state",1000072
"ou",25,1025,"ou",1000073
"ou",25,1025,"mse",1000074
"ou",25,1025,"rate_state",1000075
"ou",26,1026,"ou",1000076
"ou",26,1026,"mse",1000077
"ou",26,1026,"rate_state",1000078
"ou",27,1027,"ou",1000079
"ou",27,1027,"mse",1000080
"ou",27,1027,"rate_state",1000081
"ou",28,1028,"ou",1000082
"ou",28,1028,"mse",1000083
"ou",28,1028,"rate_state",1000084
"ou",29,1029,"ou",1000085
"ou",29,1029,"mse",1000086
"ou",29,1029,"rate_state",1000087
"ou",30,1030,"ou",1000088
"ou",30,1030,"mse",1000089
"ou",30,1030,"rate_state",1000090
"ou",31,1031,"ou",1000091
"ou",31,1031,"mse",1000092
"ou",31,1031,"rate_state",1000093
"ou",32,1032,"ou",1000094
