"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"ou","ou",1,1001,1000001,3498,3.36779453357061,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,30,0.00637137177247007,FALSE,"fitted",NA,"rep_0001_fit_ou.rds"
"ou","mse",1,1001,1000002,3498,6.01394044955572,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.00638090900775799,FALSE,"fitted",NA,"rep_0001_fit_mse.rds"
"ou","rate_state",1,1001,1000003,3498,5.87721431652705,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,43,0.00646812993960523,FALSE,"fitted",NA,"rep_0001_fit_rate_state.rds"
"ou","ou",2,1002,1000004,1812,1.2673841158549,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,20,0.00844866143128348,FALSE,"fitted",NA,"rep_0002_fit_ou.rds"
"ou","mse",2,1002,1000005,1812,2.23413724899292,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.00846465661232254,FALSE,"fitted",NA,"rep_0002_fit_mse.rds"
"ou","rate_state",2,1002,1000006,1812,1.23733103672663,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,19,0.00856657458548542,FALSE,"fitted",NA,"rep_0002_fit_rate_state.rds"
"ou","ou",3,1003,1000007,2900,2.50781853596369,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,28,0.00689163337056892,FALSE,"fitted",NA,"rep_0003_fit_ou.rds"
"ou","mse",3,1003,1000008,2900,5.75160230000814,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,52,0.00690524331803548,FALSE,"fitted",NA,"rep_0003_fit_mse.rds"
"ou","rate_state",3,1003,1000009,2900,4.57961028416952,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,50,0.00709451227605161,FALSE,"fitted",NA,"rep_0003_fit_rate_state.rds"
"ou","ou",4,1004,1000010,6181,10.7150695840518,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,40,0.00469329802477708,FALSE,"fitted",NA,"rep_0004_fit_ou.rds"
"ou","mse",4,1004,1000011,6181,24.5580408175786,"inla_failure",FALSE,FALSE,TRUE,FALSE,FALSE,29,0.00593357401132265,FALSE,"fitted",NA,"rep_0004_fit_mse.rds"
"ou","rate_state",4,1004,1000012,6181,18.3404782811801,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,55,0.00478180991015103,FALSE,"fitted",NA,"rep_0004_fit_rate_state.rds"
"ou","ou",5,1005,1000013,1853,1.36426566839218,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,23,0.00813800607435915,FALSE,"fitted",NA,"rep_0005_fit_ou.rds"
"ou","mse",5,1005,1000014,1853,2.6304359515508,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,37,0.00815292268495043,FALSE,"fitted",NA,"rep_0005_fit_mse.rds"
"ou","rate_state",5,1005,1000015,1853,2.71769335269928,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,42,0.00828177032402296,FALSE,"fitted",NA,"rep_0005_fit_rate_state.rds"
"ou","ou",6,1006,1000016,2440,2.19926565090815,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,28,0.00735963594120322,FALSE,"fitted",NA,"rep_0006_fit_ou.rds"
"ou","mse",6,1006,1000017,2440,4.03962996403376,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,42,0.00737960703208581,FALSE,"fitted",NA,"rep_0006_fit_mse.rds"
"ou","rate_state",6,1006,1000018,2440,2.15129045248032,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,25,0.00757111046746028,FALSE,"fitted",NA,"rep_0006_fit_rate_state.rds"
"ou","ou",7,1007,1000019,5368,8.67872643470764,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,36,0.00491784568326464,FALSE,"fitted",NA,"rep_0007_fit_ou.rds"
"ou","mse",7,1007,1000020,5368,12.8599808533986,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,40,0.00492541971475836,FALSE,"fitted",NA,"rep_0007_fit_mse.rds"
"ou","rate_state",7,1007,1000021,5368,21.9580810348193,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,80,0.00494336553178433,FALSE,"fitted",NA,"rep_0007_fit_rate_state.rds"
"ou","ou",8,1008,1000022,3258,3.33497465054194,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,29,0.00657453480763006,FALSE,"fitted",NA,"rep_0008_fit_ou.rds"
"ou","mse",8,1008,1000023,3258,6.3178605000178,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,41,0.00660746720403759,FALSE,"fitted",NA,"rep_0008_fit_mse.rds"
"ou","rate_state",8,1008,1000024,3258,4.23886611461639,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.00672591941323205,FALSE,"fitted",NA,"rep_0008_fit_rate_state.rds"
"ou","ou",9,1009,1000025,1842,1.5415412346522,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.00816773060689669,FALSE,"fitted",NA,"rep_0009_fit_ou.rds"
"ou","mse",9,1009,1000026,1842,2.84564764897029,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,40,0.00819761435231636,FALSE,"fitted",NA,"rep_0009_fit_mse.rds"
"ou","rate_state",9,1009,1000027,1842,1.5147679011027,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00837441713801756,FALSE,"fitted",NA,"rep_0009_fit_rate_state.rds"
"ou","ou",10,1010,1000028,2004,1.66797906557719,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,23,0.00807152747328093,FALSE,"fitted",NA,"rep_0010_fit_ou.rds"
"ou","mse",10,1010,1000029,2004,3.51573066711426,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.00808817053763733,FALSE,"fitted",NA,"rep_0010_fit_mse.rds"
"ou","rate_state",10,1010,1000030,2004,1.765298585097,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00822568107038757,FALSE,"fitted",NA,"rep_0010_fit_rate_state.rds"
"ou","ou",11,1011,1000031,2290,2.0766161998113,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.00767068383718805,FALSE,"fitted",NA,"rep_0011_fit_ou.rds"
"ou","mse",11,1011,1000032,2290,3.39140873352687,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.007676579001653,FALSE,"fitted",NA,"rep_0011_fit_mse.rds"
"ou","rate_state",11,1011,1000033,2290,4.17303438186646,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,44,0.00777139786911741,FALSE,"fitted",NA,"rep_0011_fit_rate_state.rds"
"ou","ou",12,1012,1000034,1793,1.26680326461792,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,20,0.00839989648911425,FALSE,"fitted",NA,"rep_0012_fit_ou.rds"
"ou","mse",12,1012,1000035,1793,3.09811236858368,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,42,0.00841572164217764,FALSE,"fitted",NA,"rep_0012_fit_mse.rds"
"ou","rate_state",12,1012,1000036,1793,1.15765606562297,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,18,0.00863153935235195,FALSE,"fitted",NA,"rep_0012_fit_rate_state.rds"
"ou","ou",13,1013,1000037,5726,9.0166699330012,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,38,0.00477562017818579,FALSE,"fitted",NA,"rep_0013_fit_ou.rds"
"ou","mse",13,1013,1000038,5726,15.5635457992554,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,47,0.00477936716165081,FALSE,"fitted",NA,"rep_0013_fit_mse.rds"
"ou","rate_state",13,1013,1000039,5726,22.0195231318474,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,75,0.00482877665877354,FALSE,"fitted",NA,"rep_0013_fit_rate_state.rds"
"ou","ou",14,1014,1000040,6378,10.0647991855939,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,37,0.00461889132305348,FALSE,"fitted",NA,"rep_0014_fit_ou.rds"
"ou","mse",14,1014,1000041,6378,12.9110651016235,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,38,0.00462027967799397,FALSE,"fitted",NA,"rep_0014_fit_mse.rds"
"ou","rate_state",14,1014,1000042,6378,19.6309824506442,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,62,0.00461259617351968,FALSE,"fitted",NA,"rep_0014_fit_rate_state.rds"
"ou","ou",15,1015,1000043,2939,2.82450269858042,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,25,0.00710817844696842,FALSE,"fitted",NA,"rep_0015_fit_ou.rds"
"ou","mse",15,1015,1000044,2939,4.93555235068003,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.0071149759801497,FALSE,"fitted",NA,"rep_0015_fit_mse.rds"
"ou","rate_state",15,1015,1000045,2939,6.14232794841131,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,54,0.00717910035382526,FALSE,"fitted",NA,"rep_0015_fit_rate_state.rds"
"ou","ou",16,1016,1000046,2553,2.51407654682795,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,28,0.00718213112413464,FALSE,"fitted",NA,"rep_0016_fit_ou.rds"
"ou","mse",16,1016,1000047,2553,3.90998841524124,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,34,0.00719325033237757,FALSE,"fitted",NA,"rep_0016_fit_mse.rds"
"ou","rate_state",16,1016,1000048,2553,6.27278784910838,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,60,0.00731386090197743,FALSE,"fitted",NA,"rep_0016_fit_rate_state.rds"
"ou","ou",17,1017,1000049,1898,1.3622052192688,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,20,0.00824425217510121,FALSE,"fitted",NA,"rep_0017_fit_ou.rds"
"ou","mse",17,1017,1000050,1898,2.54925160010656,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.00825297896212094,FALSE,"fitted",NA,"rep_0017_fit_mse.rds"
"ou","rate_state",17,1017,1000051,1898,1.82163112958272,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,27,0.00836600451999876,FALSE,"fitted",NA,"rep_0017_fit_rate_state.rds"
"ou","ou",18,1018,1000052,3254,3.43053474823634,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,29,0.00639956493382447,FALSE,"fitted",NA,"rep_0018_fit_ou.rds"
"ou","mse",18,1018,1000053,3254,17.8623267650604,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,79,0.00640728692504815,FALSE,"fitted",NA,"rep_0018_fit_mse.rds"
"ou","rate_state",18,1018,1000054,3254,5.98968371550242,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,47,0.00654783651031376,FALSE,"fitted",NA,"rep_0018_fit_rate_state.rds"
"ou","ou",19,1019,1000055,4100,4.25335193475088,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.00590601174434287,FALSE,"fitted",NA,"rep_0019_fit_ou.rds"
"ou","mse",19,1019,1000056,4100,7.00310026804606,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,34,0.00591481120353637,FALSE,"fitted",NA,"rep_0019_fit_mse.rds"
"ou","rate_state",19,1019,1000057,4100,10.9035010019938,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,62,0.00599870978703888,FALSE,"fitted",NA,"rep_0019_fit_rate_state.rds"
"ou","ou",20,1020,1000058,2416,1.67059001525243,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00764264997610796,FALSE,"fitted",NA,"rep_0020_fit_ou.rds"
"ou","mse",20,1020,1000059,2416,3.01850059827169,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.00766415537395227,FALSE,"fitted",NA,"rep_0020_fit_mse.rds"
"ou","rate_state",20,1020,1000060,2416,1.54337063233058,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,19,0.0077677497590011,FALSE,"fitted",NA,"rep_0020_fit_rate_state.rds"
"ou","ou",21,1021,1000061,2765,2.18556338151296,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,25,0.00731015456917028,FALSE,"fitted",NA,"rep_0021_fit_ou.rds"
"ou","mse",21,1021,1000062,2765,4.70259703397751,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.00731648590749953,FALSE,"fitted",NA,"rep_0021_fit_mse.rds"
"ou","rate_state",21,1021,1000063,2765,2.39347438414892,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00742421569321264,FALSE,"fitted",NA,"rep_0021_fit_rate_state.rds"
