"criterion","truth_kernel","competitor_kernel","comparison","n","n_truth_favoured","prop_truth_favoured","median_delta","q10_delta","q90_delta"
"DIC","mse","ou","MSE truth vs OU",100,100,1,161.155780872444,125.564661685952,327.939412942334
"DIC","ou","mse","OU truth vs MSE",97,0,0,-56.1830455059171,-107.494919426853,-31.0987715090057
"DIC","ou","rate_state","OU truth vs RS",100,0,0,-447.80290961928,-758.986315219457,-302.745434638343
"DIC","rate_state","mse","RS truth vs MSE",76,76,1,164.255024245187,112.213046910088,288.301187809349
"DIC","rate_state","ou","RS truth vs OU",100,100,1,330.121010810934,230.645538484214,492.074876013666
"LML","mse","ou","MSE truth vs OU",100,99,0.99,7.65305662262244,2.59953266811126,25.887972551024
"LML","ou","mse","OU truth vs MSE",97,97,1,3.08736532170042,2.05484388593904,3.83669390341383
"LML","ou","rate_state","OU truth vs RS",100,100,1,34.7747494568657,19.6381468434962,68.1499112076192
"LML","rate_state","mse","RS truth vs MSE",76,76,1,13.1433713681904,9.38904466847907,21.3573432040994
"LML","rate_state","ou","RS truth vs OU",100,100,1,39.6337873622115,18.4458141741694,85.0676683962112
