"truth_kernel","parameter","n","truth","mean_posterior_median","bias","rmse","relative_bias","relative_rmse","coverage","median_ci_width","relative_ci_width"
"mse","K",100,0.524180588111021,0.510776205370205,-0.0134043827408163,0.0755805755099636,-0.0255720700934795,0.144188047448174,0.86,0.211071953028166,0.402670296870019
"mse","alpha",100,1.89,1.89296658373602,0.00296658373601987,0.0323095433055752,0.00156962102434914,0.0170949964579763,0.56,0.0565055412463847,0.0298971117705739
"mse","d",100,0.03,0.0315526955056874,0.00155269550568741,0.00688624891640747,0.051756516856247,0.229541630546916,0.95,0.0273825725800715,0.912752419335715
"mse","gamma",100,0.22,0.220987576577969,0.000987576577968546,0.025972981389675,0.00448898444531157,0.118059006316705,0.83,0.0766249369992504,0.348295168178411
"mse","mu",100,0.074,0.0745727189233735,0.000572718923373542,0.00458896279027704,0.00773944491045328,0.0620130106794195,0.96,0.0176524000211178,0.238545946231322
"mse","rho",100,1.95928918754142,1.99581802846361,0.0365288409221854,0.267697544994132,0.0186439251308394,0.136629930229976,0.88,0.829539841556409,0.42338815874207
"ou","K",100,0.524180588111021,0.510641774122219,-0.013538813988802,0.0779169938801229,-0.0258285298919435,0.148645325003184,0.78,0.192006950308277,0.366299238589144
"ou","alpha",100,1.89,1.8930903494334,0.00309034943340168,0.0357242550399908,0.00163510552031835,0.0189017222433814,0.56,0.0563386606407519,0.029808815153837
"ou","c",100,0.03,0.0316285244828828,0.00162852448288283,0.00413656942376941,0.0542841494294275,0.13788564745898,0.91,0.014438073651894,0.4812691217298
"ou","mu",100,0.074,0.0761089195857019,0.00210891958570195,0.00907567714589215,0.0284989133202966,0.122644285755299,0.77,0.0178843413027668,0.241680287875228
"ou","p",100,1.17,1.17641593325921,0.00641593325921317,0.0179521353343979,0.00548370364035314,0.0153437054140153,0.76,0.0431782482191171,0.036904485657365
"rate_state","1-B",100,8.54671406689267e-05,9.96888351262648e-05,1.42216944573381e-05,2.4482782378334e-05,0.166399558310118,0.286458423514749,0.75,5.34842365151889e-05,0.625787128206035
"rate_state","K",100,0.524180588111021,0.50429094280837,-0.0198896453026513,0.0780323511873133,-0.0379442614888263,0.148865396691848,0.85,0.211385833381319,0.403269098810174
"rate_state","alpha",100,1.89,1.89155435971859,0.00155435971859312,0.0317179064100492,0.000822412549520168,0.0167819610635181,0.64,0.0550049286509913,0.0291031368523763
"rate_state","mu",100,0.074,0.0754490956026252,0.00144909560262521,0.007069134867002,0.0195823730084488,0.0955288495540811,0.83,0.0175971701301484,0.237799596353357
"rate_state","ta",100,188,174.420427332249,-13.5795726677505,28.1677875900961,-0.0722317695093113,0.149828657394128,0.55,43.044307301363,0.228959081390229
