"truth_kernel","rep","tv"
"mse",1,0.0194852838706232
"mse",2,0.0334309243224685
"mse",3,0.0214372408765585
"mse",4,0.016697199809212
"mse",5,0.0172093198801435
"mse",6,0.00661204222616689
"mse",7,0.0205940612885572
"mse",8,0.0230779876813945
"mse",9,0.018303583117567
"mse",10,0.0174378964620597
"mse",11,0.0234965908745202
"mse",12,0.0286937114730063
"mse",13,0.0130797697480946
"mse",14,0.024460123938502
"mse",15,0.0254926562944266
"mse",16,0.0135356915866723
"mse",17,0.0373063628322771
"mse",18,0.0153649734993636
"mse",19,0.01895009204472
"mse",20,0.0174812264644923
"mse",21,0.00365394821984999
"mse",22,0.015436703456465
"mse",23,0.0170623172172862
"mse",24,0.0120393305475666
"mse",25,0.0140956283848082
"mse",26,0.0249829200930391
"mse",27,0.0127227402441567
"mse",28,0.00569825729724282
"mse",29,0.00970747074434335
"mse",30,0.0115334695919377
"mse",31,0.0226020818659122
"mse",32,0.00880683247806528
"mse",33,0.0221154696990284
"mse",34,0.0270446824158785
"mse",35,0.020129216927656
"mse",36,0.00918858409408094
"mse",37,0.0211600089394876
"mse",38,0.02301164933633
"mse",39,0.0183414796239674
"mse",40,0.0100512160370305
"mse",41,0.0203368156360917
"mse",42,0.0158787707556822
"mse",43,0.00733974534818729
"mse",44,0.0103688350113173
"mse",45,0.0151069292373466
"mse",46,0.0111211032966038
"mse",47,0.0133562301767347
"mse",48,0.0302600461738982
"mse",49,0.0103982886480325
"mse",50,0.00477265685013773
"mse",51,0.00773764509868404
"mse",52,0.010621941932461
"mse",53,0.0239605743576468
"mse",54,0.0228162375748458
"mse",55,0.0243022917780001
"mse",56,0.0108615137572656
"mse",57,0.0168274450163642
"mse",58,0.0109655349620389
"mse",59,0.024384851035073
"mse",60,0.0155516155777306
"mse",61,0.0201130371489342
"mse",62,0.0245970785125275
"mse",63,0.0253251224556969
"mse",64,0.0172483208043454
"mse",65,0.01837259796992
"mse",66,0.0155829435188281
"mse",67,0.0228387735983275
"mse",68,0.0139932838004467
"mse",69,0.00834372566903541
"mse",70,0.024410906805802
"mse",71,0.0204590780042841
"mse",72,0.0265223092241965
"mse",73,0.0205423405633013
"mse",74,0.0295115558562186
"mse",75,0.0112388772797588
"mse",76,0.0275004121913162
"mse",77,0.00908549346467825
"mse",78,0.0235443752049408
"mse",79,0.0159649579207958
"mse",80,0.0242181490159386
"mse",81,0.0302869253117362
"mse",82,0.0108459574080447
"mse",83,0.0188380497422275
"mse",84,0.0161611645387306
"mse",85,0.02423989112015
"mse",86,0.0205681944650295
"mse",87,0.00919895766833223
"mse",88,0.0171468360346314
"mse",89,0.0225199068977447
"mse",90,0.0214848823538783
"mse",91,0.0167145826840962
"mse",92,0.0165608690664563
"mse",93,0.0108182995550667
"mse",94,0.0120580069049071
"mse",95,0.0234533174731948
"mse",96,0.0203381597654973
"mse",97,0.0119018279600638
"mse",98,0.0302832904491121
"mse",99,0.00652900033496689
"mse",100,0.0139030904094145
"ou",1,0.0211436778777489
"ou",2,0.0225802837693434
"ou",3,0.0140395188458558
"ou",4,0.00403334618517724
"ou",5,0.0268993857255575
"ou",6,0.0211991245916638
"ou",7,0.0041398440121279
"ou",8,0.022219863575777
"ou",9,0.00945014646279422
"ou",10,0.0145046528333603
"ou",11,0.0155277649412478
"ou",12,0.0121424440818268
"ou",13,0.00819263053756134
"ou",14,0.00721266279383087
"ou",15,0.0207743217913895
"ou",16,0.0253696385911651
"ou",17,0.0420887218346375
"ou",18,0.00899795448969973
"ou",19,0.00826078342334002
"ou",20,0.0176976669090925
"ou",21,0.0162147545077686
"ou",22,0.0269133947715505
"ou",23,0.0146708795592879
"ou",24,0.0172409036137356
"ou",25,0.0388317470822749
"ou",26,0.00144645662801821
"ou",27,0.00291898891411932
"ou",28,0.00296848566310068
"ou",29,0.0123582182769299
"ou",30,0.0236975747213503
"ou",31,0.0121900649481412
"ou",32,0.00995824822074984
"ou",33,0.00400854133663903
"ou",34,0.0251690253745316
"ou",35,0.00896580398978403
"ou",36,0.0339098056240457
"ou",37,0.0340475300338588
"ou",38,0.0184714870483131
"ou",39,0.0349314492321623
"ou",40,0.0272255533670056
"ou",41,0.00231811733314574
"ou",42,0.00929195152931607
"ou",43,0.0157447371285825
"ou",44,0.0164463423129051
"ou",45,0.0124869088950687
"ou",46,0.0233643197175061
"ou",47,0.0135879501135528
"ou",48,0.00930307255543444
"ou",49,0.017881276556671
"ou",50,0.00270782233841852
"ou",51,0.0201467302438128
"ou",52,0.0222683433281232
"ou",53,0.0191990360337864
"ou",54,0.029110440818191
"ou",55,0.0147210622381716
"ou",56,0.00660122161279973
"ou",57,0.0119129681544447
"ou",58,0.0155276176730428
"ou",59,0.0209767918842362
"ou",60,0.0169449245362582
"ou",61,0.01133404763699
"ou",62,0.0287129647540257
"ou",63,0.0141577897210073
"ou",64,0.0287511288174509
"ou",65,0.0132538908581905
"ou",66,0.0163473264685506
"ou",67,0.0255912713187199
"ou",68,0.011327151371168
"ou",69,0.0194931999772376
"ou",70,0.0175961442052927
"ou",71,0.017777674212567
"ou",72,0.0114585657662519
"ou",73,0.0256723275967491
"ou",74,0.0145288178950744
"ou",75,0.0293579732271941
"ou",76,0.0120452787457743
"ou",77,0.0164398294535747
"ou",78,0.0156446554352641
"ou",79,0.0209468869627337
"ou",80,0.0196883873715705
"ou",81,0.0014157768244253
"ou",82,0.0192098163259146
"ou",83,0.0236235851973326
"ou",84,0.0175607757523879
"ou",85,0.0235246426016938
"ou",86,0.007971797511896
"ou",87,0.014896328952564
"ou",88,0.0381478676765398
"ou",89,0.00893023595276404
"ou",90,0.0118569210413139
"ou",91,0.02421928544217
"ou",92,0.0115733460891085
"ou",93,0.0184393237667299
"ou",94,0.0102855439653632
"ou",95,0.0433592233173695
"ou",96,0.0082402377779445
"ou",97,0.0138585038798336
"ou",98,0.00838498401949222
"ou",99,0.0138566552732722
"ou",100,0.016046082530841
"rate_state",1,0.0115675740418884
"rate_state",2,0.0143126337730771
"rate_state",3,0.0189097207317072
"rate_state",4,0.027498569518521
"rate_state",5,0.0136411086102051
"rate_state",6,0.00648361761382721
"rate_state",7,0.0262229041859366
"rate_state",8,0.0252388691740629
"rate_state",9,0.0220960816024168
"rate_state",10,0.0148178572399102
"rate_state",11,0.0318820938526727
"rate_state",12,0.00600601690767151
"rate_state",13,0.00868156803844172
"rate_state",14,0.0145120959686079
"rate_state",15,0.0097176778347928
"rate_state",16,0.0111650641445143
"rate_state",17,0.0095852055263558
"rate_state",18,0.0165704097292921
"rate_state",19,0.00728233780485209
"rate_state",20,0.00978972074078067
"rate_state",21,0.0253665982992917
"rate_state",22,0.00788137130816967
"rate_state",23,0.0268081760741601
"rate_state",24,0.0165697389975845
"rate_state",25,0.0169477108091479
"rate_state",26,0.0219867768942338
"rate_state",27,0.0104944135478047
"rate_state",28,0.00394506590152688
"rate_state",29,0.00797005889776186
"rate_state",30,0.020819676351128
"rate_state",31,0.0165581462967415
"rate_state",32,0.0236180239659755
"rate_state",33,0.00605510580013364
"rate_state",34,0.0114129919803476
"rate_state",35,0.0164159032589633
"rate_state",36,0.00431869432933061
"rate_state",37,0.0280460447702828
"rate_state",38,0.00856303399043743
"rate_state",39,0.0137961198565851
"rate_state",40,0.012064044416655
"rate_state",41,0.00846354220823343
"rate_state",42,0.00333325727783259
"rate_state",43,0.00279957908795801
"rate_state",44,0.0101849259686186
"rate_state",45,0.0140120865589594
"rate_state",46,0.010610976227809
"rate_state",47,0.002726671997505
"rate_state",48,0.00973740717044373
"rate_state",49,0.00412784411856818
"rate_state",50,0.0197926031577839
"rate_state",51,0.0109484088558736
"rate_state",52,0.00963558034879753
"rate_state",53,0.011407665385168
"rate_state",54,0.0200829170145913
"rate_state",55,0.0127470746544694
"rate_state",56,0.0373760714926695
"rate_state",57,0.0206820217819277
"rate_state",58,0.0090656350472737
"rate_state",59,0.0196603822859784
"rate_state",60,0.0274308500772587
"rate_state",61,0.00856284755724742
"rate_state",62,0.0104642010502726
"rate_state",63,0.00886452811965022
"rate_state",64,0.0043002442920086
"rate_state",65,0.0020000383826044
"rate_state",66,0.0175612078206554
"rate_state",67,0.00350320847081118
"rate_state",68,0.0247252437148254
"rate_state",69,0.0123503378254036
"rate_state",70,0.0046962082714943
"rate_state",71,0.0102114936493694
"rate_state",72,0.00974293430765951
"rate_state",73,0.0156282879867362
"rate_state",74,0.011827214346716
"rate_state",75,0.0207674800957041
"rate_state",76,0.0297858799593115
"rate_state",77,0.034601034217773
"rate_state",78,0.00213044320805308
"rate_state",79,0.0130319620420516
"rate_state",80,0.00954154667461069
"rate_state",81,0.00938822102494221
"rate_state",82,0.00896724696899061
"rate_state",83,0.0237326671511475
"rate_state",84,0.0277751402887566
"rate_state",85,0.0061207733153677
"rate_state",86,0.010389305015884
"rate_state",87,0.0024284517704737
"rate_state",88,0.0102273394187168
"rate_state",89,0.0153394417519038
"rate_state",90,0.0186917273750742
"rate_state",91,0.00601489261639079
"rate_state",92,0.0262631843083186
"rate_state",93,0.0137642347161496
"rate_state",94,0.0258795505827113
"rate_state",95,0.00390843579774973
"rate_state",96,0.0142280632313741
"rate_state",97,0.036117423496561
"rate_state",98,0.00476004971833235
"rate_state",99,0.0151765851935894
"rate_state",100,0.00719583775008024
