"truth_kernel","rep","parameter","truth","mean","q025","median","q975","error","squared_error","ci_width","covered"
"ou",1,"mu",0.074,0.0970480304209076,0.0872962879178403,0.0969305729478049,0.107407054397311,0.0229305729478049,0.000525811175714602,0.0201107664794708,FALSE
"ou",1,"K",0.524180588111021,0.440069515815564,0.374706774477318,0.438601049561455,0.513383558508066,-0.0855795385495662,0.00732385741835668,0.138676784030748,FALSE
"ou",1,"alpha",1.89,1.89458891403693,1.87008351500184,1.89454114665828,1.919212064671,0.00454114665827898,2.06220129719984e-05,0.0491285496691678,TRUE
"ou",1,"c",0.03,0.0380681991741042,0.0312552652426929,0.0379176515522042,0.045695172758883,0.00791765155220418,6.26892061021212e-05,0.0144399075161901,FALSE
"ou",1,"p",1.17,1.18900198736195,1.17007348471792,1.18882765166874,1.20880368465364,0.0188276516687429,0.000354480467359517,0.0387301999357184,FALSE
"ou",2,"mu",0.074,0.0803231451974978,0.0714786287492378,0.080205238747428,0.089783204497265,0.00620523874742801,3.85049879125819e-05,0.0183045757480272,TRUE
"ou",2,"K",0.524180588111021,0.400270972773869,0.318944541864441,0.397680920821584,0.495842517178071,-0.126499667289437,0.0160021658243383,0.176897975313629,FALSE
"ou",2,"alpha",1.89,1.91730196815451,1.88457914463256,1.91722623225102,1.95025006604713,0.0272262322510237,0.000741267722586684,0.0656709214145714,TRUE
"ou",2,"c",0.03,0.0391488459838618,0.0295350250066964,0.0388470007240311,0.0504200977254483,0.00884700072403109,7.82694218110066e-05,0.0208850727187519,TRUE
"ou",2,"p",1.17,1.18767599696695,1.16183443761773,1.18734984015381,1.21521091669181,0.0173498401538075,0.00030101695336267,0.0533764790740836,TRUE
"ou",3,"mu",0.074,0.0733435368758166,0.0649072168028719,0.0732254565748937,0.0823989571857058,-0.000774543425106342,5.99917517375463e-07,0.0174917403828339,TRUE
"ou",3,"K",0.524180588111021,0.478000494196507,0.399289456633105,0.476021178619116,0.567489332122854,-0.0481594094919058,0.00231932872260906,0.168199875489749,TRUE
"ou",3,"alpha",1.89,1.91846411987734,1.89173980530548,1.91840970677658,1.94533005915098,0.0284097067765767,0.00080711143913107,0.0535902538454973,FALSE
"ou",3,"c",0.03,0.0327886873160337,0.0263369103512731,0.0326286972243807,0.0401105409059963,0.00262869722438071,6.91004909746687e-06,0.0137736305547232,TRUE
"ou",3,"p",1.17,1.1863458779391,1.16667511345622,1.18615425022781,1.2069835578573,0.0161542502278109,0.000260959800422729,0.0403084444010762,TRUE
"ou",4,"mu",0.074,0.0719927482729753,0.0636413041467826,0.0718747365581009,0.0809634361952446,-0.00212526344189908,4.5167446974727e-06,0.017322132048462,TRUE
"ou",4,"K",0.524180588111021,0.468854195763643,0.414396486113382,0.467912013118127,0.528333810548189,-0.0562685749928947,0.00316615253173102,0.113937324434807,TRUE
"ou",4,"alpha",1.89,1.9154800513825,1.89727921044205,1.91545011308273,1.93373681015195,0.0254501130827276,0.000647708255923622,0.0364575997099004,FALSE
"ou",4,"c",0.03,0.0316507441732425,0.0272804768239617,0.0315764372965124,0.0364164941096686,0.00157643729651244,2.48515454983545e-06,0.00913601728570688,TRUE
"ou",4,"p",1.17,1.17202355397189,1.15924010549139,1.17193158210388,1.18525012225107,0.00193158210388478,3.73100942404794e-06,0.0260100167596813,TRUE
"ou",5,"mu",0.074,0.07039127377882,0.0621366694348709,0.0702732073635428,0.0792660425664769,-0.00372679263645724,1.38889833551519e-05,0.017129373131606,TRUE
"ou",5,"K",0.524180588111021,0.3739143495339,0.294396913709902,0.371245135431753,0.468140959755761,-0.152935452679268,0.0233892526862127,0.173744046045859,FALSE
"ou",5,"alpha",1.89,1.96336287692001,1.931329690282,1.96329097647705,1.99560384149521,0.0732909764770475,0.00537156723295913,0.0642741512132126,FALSE
"ou",5,"c",0.03,0.0323455585175286,0.0240037878410774,0.0320640007131221,0.0422374462765921,0.00206400071312208,4.26009894376845e-06,0.0182336584355148,TRUE
"ou",5,"p",1.17,1.15374264584132,1.12937672605608,1.15336209678733,1.18012051972681,-0.016637903212672,0.000276819823314241,0.0507437936707278,TRUE
"ou",6,"mu",0.074,0.0772256352805573,0.0685625859076472,0.0771077249200451,0.0865053912316735,0.00310772492004512,9.65795417866942e-06,0.0179428053240264,TRUE
"ou",6,"K",0.524180588111021,0.359884172355961,0.294815127857235,0.358068693732202,0.434885153613961,-0.166111894378819,0.0275931614541199,0.140070025756726,FALSE
"ou",6,"alpha",1.89,1.94904377888333,1.92020560488053,1.94898290349445,1.97804706741096,0.0589829034944482,0.00347898290463539,0.057841462530428,FALSE
"ou",6,"c",0.03,0.0366968816845579,0.0287833040368608,0.0364814274322999,0.0457869796059145,0.00648142743229987,4.20089015601693e-05,0.0170036755690538,TRUE
"ou",6,"p",1.17,1.17116324432555,1.15023580066336,1.17092047527774,1.193340650498,0.00092047527773853,8.47274736927825e-07,0.0431048498346376,TRUE
"ou",7,"mu",0.074,0.0647761360830494,0.0568730997786501,0.0646579563327799,0.07330219419897,-0.00934204366722009,8.7273779880247e-05,0.0164290944203199,FALSE
"ou",7,"K",0.524180588111021,0.60063379640824,0.525526482077147,0.599229803208109,0.683262852842955,0.0750492150970874,0.00563238468668889,0.157736370765808,FALSE
"ou",7,"alpha",1.89,1.84567342562652,1.82707615442514,1.84564183716583,1.8643335148624,-0.0443581628341692,0.00196764661002267,0.037257360437267,FALSE
"ou",7,"c",0.03,0.0292462169277279,0.0248025755461224,0.0291622306847648,0.0341399769786609,-0.000837769315235208,7.0185742554967e-07,0.00933740143253854,TRUE
"ou",7,"p",1.17,1.1648559789275,1.15091652609862,1.16474134702634,1.17936024610841,-0.00525865297366002,2.76534310973833e-05,0.0284437200097944,TRUE
"ou",8,"mu",0.074,0.0781382582178176,0.069423023442802,0.0780203938084313,0.0874696097369613,0.00402039380843126,1.61635663748724e-05,0.0180465862941593,TRUE
"ou",8,"K",0.524180588111021,0.561656361649727,0.474932265956508,0.559624032138689,0.659408887149552,0.0354434440276675,0.0012562377245424,0.184476621193045,TRUE
"ou",8,"alpha",1.89,1.8645250039507,1.83951266920368,1.86447514020137,1.88966383548734,-0.025524859798632,0.000651518467739817,0.0501511662836569,FALSE
"ou",8,"c",0.03,0.0324451586994892,0.026435621738016,0.0323056115868697,0.0392112008924685,0.00230561158686974,5.315844789508e-06,0.0127755791544525,TRUE
"ou",8,"p",1.17,1.19292685234723,1.17418440932358,1.19276053500854,1.21249803573161,0.0227605350085403,0.000518041953874986,0.0383136264080308,FALSE
"ou",9,"mu",0.074,0.0847522977898709,0.0756627672040002,0.0846346191722457,0.0944545332712701,0.0106346191722457,0.000113095124938696,0.0187917660672699,FALSE
"ou",9,"K",0.524180588111021,0.484884513287644,0.380646831734951,0.481341331312586,0.608656361014644,-0.0428392567984354,0.0018352019230423,0.228009529279694,TRUE
"ou",9,"alpha",1.89,1.94532855671311,1.91337810134814,1.94525649491368,1.97748822920294,0.0552564949136791,0.00305328023014545,0.0641101278547995,FALSE
"ou",9,"c",0.03,0.0283938448295276,0.0210190717251882,0.0281404485375335,0.0371646232924422,-0.00185955146246649,3.45793164156126e-06,0.016145551567254,TRUE
"ou",9,"p",1.17,1.17201012697094,1.14738633140338,1.17167612075912,1.19837958194716,0.00167612075911827,2.80938079914721e-06,0.050993250543774,TRUE
"ou",10,"mu",0.074,0.0841439966911836,0.0750863550980996,0.0840262519734538,0.0938149200043138,0.0100262519734538,0.000100525728635185,0.0187285649062142,FALSE
"ou",10,"K",0.524180588111021,0.46742885414343,0.368180311589108,0.464103364801587,0.585001882101961,-0.0600772233094343,0.00360927276057164,0.216821570512853,TRUE
"ou",10,"alpha",1.89,1.95964190565662,1.92790989639534,1.95957101827224,1.99157782045082,0.0695710182722351,0.00484012658343567,0.0636679240554814,FALSE
"ou",10,"c",0.03,0.0256379486331588,0.019041521196411,0.0254122351343524,0.033477760984009,-0.00458776486564761,2.10475864624707e-05,0.014436239787598,TRUE
"ou",10,"p",1.17,1.15656174913809,1.13368467868603,1.15623489415453,1.18115479562473,-0.0137651058454673,0.000189478138936918,0.047470116938694,TRUE
"ou",11,"mu",0.074,0.0791588523304427,0.0703839589216653,0.0790409936693718,0.0885494544965642,0.00504099366937177,2.54116171746463e-05,0.0181654955748989,TRUE
"ou",11,"K",0.524180588111021,0.465695516295314,0.375872328478255,0.4629997626595,0.570310913559781,-0.0611808254515213,0.00374309340292951,0.194438585081526,TRUE
"ou",11,"alpha",1.89,1.91471411603399,1.88501981834399,1.91464949384564,1.94458947237808,0.0246494938456367,0.000607597546846084,0.05956965403409,TRUE
"ou",11,"c",0.03,0.0303086270867911,0.0232287264798389,0.0300944913582503,0.0385628652107502,9.44913582502961e-05,8.9286167839858e-09,0.0153341387309113,TRUE
"ou",11,"p",1.17,1.15718567552684,1.1358375762117,1.15690284953705,1.18000894762889,-0.0130971504629507,0.000171535350249169,0.0441713714171881,TRUE
"ou",12,"mu",0.074,0.0786769224756424,0.0699272907956828,0.0785589836200237,0.0880428783049901,0.00455898362002372,2.07843316476445e-05,0.0181155875093073,TRUE
"ou",12,"K",0.524180588111021,0.434464877447354,0.339607583524208,0.431181895402814,0.547433435854829,-0.0929986927082078,0.00864875684543566,0.207825852330622,TRUE
"ou",12,"alpha",1.89,1.9738549804114,1.94067644283771,1.97377908219534,2.00725684897636,0.083779082195345,0.00701893461349438,0.0665804061386541,FALSE
"ou",12,"c",0.03,0.0279869270414821,0.0206604432247635,0.0277325969792792,0.0367150472596915,-0.00226740302072076,5.14111645837364e-06,0.0160546040349281,TRUE
"ou",12,"p",1.17,1.17271793587764,1.14792065483314,1.17238107064375,1.19927604424856,0.00238107064375503,5.66949741055201e-06,0.0513553894154128,TRUE
"ou",13,"mu",0.074,0.0801556720105899,0.0713252676305611,0.0800378829543528,0.0896010397670403,0.00603788295435281,3.64560305704643e-05,0.0182757721364792,TRUE
"ou",13,"K",0.524180588111021,0.624930932154331,0.549530167549983,0.623573462639731,0.707586524366202,0.0993928745287102,0.00987894350707992,0.158056356816218,FALSE
"ou",13,"alpha",1.89,1.84825850058407,1.83018063519454,1.84822826867001,1.86639472921854,-0.0417717313299901,0.00174487753830488,0.0362140940240094,FALSE
"ou",13,"c",0.03,0.0288771687718609,0.0246651759292851,0.0288008560828605,0.0334970597179735,-0.00119914391713955,1.43794613401278e-06,0.0088318837886884,TRUE
"ou",13,"p",1.17,1.17338678407128,1.15980443708208,1.17328444698066,1.18746621994939,0.00328444698066099,1.07875919687731e-05,0.0276617828673054,TRUE
"ou",14,"mu",0.074,0.0581477201782618,0.0506786676741153,0.0580293549357624,0.0662435820679165,-0.0159706450642376,0.000255061503767857,0.0155649143938012,FALSE
"ou",14,"K",0.524180588111021,0.599702663232908,0.529874501780406,0.598491436043925,0.675987900106707,0.0743108479329034,0.0055221021205071,0.146113398326301,FALSE
"ou",14,"alpha",1.89,1.86996840494868,1.85234382460211,1.86993950185846,1.8876466355224,-0.0200604981415362,0.000402423585686578,0.0353028109202922,FALSE
"ou",14,"c",0.03,0.0276597956417063,0.023745572986513,0.0275909057338402,0.0319415396906875,-0.00240909426615982,5.80373518324414e-06,0.00819596670417456,TRUE
"ou",14,"p",1.17,1.16288979153963,1.14999160663947,1.1627896826266,1.1762766850127,-0.00721031737339639,5.19886766251018e-05,0.0262850783732336,TRUE
"ou",15,"mu",0.074,0.0822498993831815,0.0732932632698286,0.0821319694461362,0.0918215068238952,0.00813196944613616,6.6128927072892e-05,0.0185282435540666,TRUE
"ou",15,"K",0.524180588111021,0.709171899085503,0.583773637414929,0.705759290170845,0.853219401405767,0.181578702059824,0.0329708250417304,0.269445763990839,FALSE
"ou",15,"alpha",1.89,1.84938373024554,1.8224973595828,1.8493274228132,1.87642149063804,-0.040672577186798,0.00165425853501604,0.0539241310552436,FALSE
"ou",15,"c",0.03,0.0231919909204672,0.0181920251954074,0.0230514961462108,0.0289602764570768,-0.00694850385378919,4.82817058061233e-05,0.0107682512616694,FALSE
"ou",15,"p",1.17,1.15597545989917,1.13744862563444,1.15576030240855,1.17561026751212,-0.0142396975914469,0.00020276898749586,0.0381616418776782,TRUE
"ou",16,"mu",0.074,0.0755534187166224,0.0669897213918566,0.0754355032098284,0.0847344768955173,0.00143550320982838,2.06066946542759e-06,0.0177447555036607,TRUE
"ou",16,"K",0.524180588111021,0.389939418379466,0.319437635667137,0.387972406297522,0.471202121413005,-0.1362081818135,0.0185526687929393,0.151764485745868,FALSE
"ou",16,"alpha",1.89,1.94234725036785,1.9142672841526,1.94228880752119,1.97058325312269,0.0522888075211874,0.00273411939198778,0.0563159689700914,FALSE
"ou",16,"c",0.03,0.0336080957865157,0.0263054638023362,0.0334061893228416,0.0420140162214416,0.00340618932284161,1.16021257030402e-05,0.0157085524191055,TRUE
"ou",16,"p",1.17,1.15751412119287,1.13738504373058,1.15726344145691,1.17894318005516,-0.0127365585430883,0.000162219923521516,0.0415581363245767,TRUE
"ou",17,"mu",0.074,0.0826698340666381,0.0736947990456584,0.0825520535449938,0.092258874177403,0.00855205354499378,7.31376198364406e-05,0.0185640751317446,TRUE
"ou",17,"K",0.524180588111021,0.477699457352962,0.382651880118141,0.474744111327141,0.588986307164121,-0.0494364767838799,0.00244396523680309,0.20633442704598,TRUE
"ou",17,"alpha",1.89,1.92739941275962,1.89535158699992,1.92732651347082,1.95966061090564,0.0373265134708158,0.001393268607887,0.0643090239057151,FALSE
"ou",17,"c",0.03,0.0337456079958993,0.0257030564828799,0.0334986768796142,0.0431430490057163,0.00349867687961423,1.22407399079472e-05,0.0174399925228364,TRUE
"ou",17,"p",1.17,1.21148046757187,1.18541987817497,1.2112009700691,1.23896766873355,0.0412009700691014,0.00169751993463499,0.0535477905585737,FALSE
