"truth_kernel","rep","parameter_1","parameter_2","correlation"
"ou",1,"K","mu",-0.00235484635484636
"ou",1,"alpha","mu",0.0398237438237438
"ou",1,"c","mu",-0.0302892662892663
"ou",1,"alpha","K",-0.383575451575452
"ou",1,"c","K",-0.820531660531661
"ou",1,"alpha","c",-0.000984264984264985
"ou",1,"mu","p",-0.0546068106068106
"ou",1,"K","p",-0.415833127833128
"ou",1,"alpha","p",0.025037857037857
"ou",1,"c","p",0.735417831417831
"ou",2,"K","mu",0.0142415422415422
"ou",2,"alpha","mu",0.0129026289026289
"ou",2,"c","mu",-0.0246012486012486
"ou",2,"alpha","K",-0.397507405507405
"ou",2,"c","K",-0.82139342939343
"ou",2,"alpha","c",0.00277863877863878
"ou",2,"mu","p",-0.00110952110952111
"ou",2,"K","p",-0.407578151578152
"ou",2,"alpha","p",-0.00241470241470241
"ou",2,"c","p",0.731279999279999
"ou",3,"K","mu",0.015997935997936
"ou",3,"alpha","mu",-0.0238628878628879
"ou",3,"c","mu",-0.0227268107268107
"ou",3,"alpha","K",-0.341865221865222
"ou",3,"c","K",-0.807658851658852
"ou",3,"alpha","c",-0.104849384849385
"ou",3,"mu","p",-0.0201578601578602
"ou",3,"K","p",-0.411473691473692
"ou",3,"alpha","p",-0.0771143451143451
"ou",3,"c","p",0.735488583488584
"ou",4,"K","mu",-0.0409433449433449
"ou",4,"alpha","mu",0.00785777585777586
"ou",4,"c","mu",0.0407373767373767
"ou",4,"alpha","K",-0.485854397854398
"ou",4,"c","K",-0.815802407802408
"ou",4,"alpha","c",0.0727606447606448
"ou",4,"mu","p",0.0159153879153879
"ou",4,"K","p",-0.398764250764251
"ou",4,"alpha","p",0.0355804435804436
"ou",4,"c","p",0.723534243534244
"ou",5,"K","mu",0.0462439542439542
"ou",5,"alpha","mu",-0.0145174705174705
"ou",5,"c","mu",-0.0573374613374613
"ou",5,"alpha","K",-0.392924552924553
"ou",5,"c","K",-0.844121176121176
"ou",5,"alpha","c",0.0225235425235425
"ou",5,"mu","p",-0.071001539001539
"ou",5,"K","p",-0.427839955839956
"ou",5,"alpha","p",-0.00185823785823786
"ou",5,"c","p",0.726025974025974
"ou",6,"K","mu",0.0743452463452463
"ou",6,"alpha","mu",-0.0326065166065166
"ou",6,"c","mu",-0.0571930891930892
"ou",6,"alpha","K",-0.379856167856168
"ou",6,"c","K",-0.810934374934375
"ou",6,"alpha","c",-0.0381413061413061
"ou",6,"mu","p",-0.042020754020754
"ou",6,"K","p",-0.391692163692164
"ou",6,"alpha","p",-0.0242757122757123
"ou",6,"c","p",0.7197506997507
"ou",7,"K","mu",-0.00090938490938491
"ou",7,"alpha","mu",-0.034993150993151
"ou",7,"c","mu",0.0254566574566575
"ou",7,"alpha","K",-0.406076902076902
"ou",7,"c","K",-0.836317952317952
"ou",7,"alpha","c",0.0399320799320799
"ou",7,"mu","p",0.0313228033228033
"ou",7,"K","p",-0.405583545583546
"ou",7,"alpha","p",0.0355958995958996
"ou",7,"c","p",0.70833396033396
"ou",8,"K","mu",0.0742130302130302
"ou",8,"alpha","mu",-0.0183556983556984
"ou",8,"c","mu",-0.0840806400806401
"ou",8,"alpha","K",-0.392700308700309
"ou",8,"c","K",-0.850194814194814
"ou",8,"alpha","c",0.0364098604098604
"ou",8,"mu","p",-0.0506686826686827
