"truth_kernel","parameter_1","parameter_2","n","median_correlation","q10_correlation","q90_correlation","median_abs_correlation","prop_abs_gt_05","prop_abs_gt_07"
"mse","K","mu",100,-0.00257655857655858,-0.0432833052833053,0.0340917064917065,0.0221684441684442,0,0
"mse","K","rho",100,-0.579005241005241,-0.633131845931846,-0.534827962427962,0.579005241005241,0.99,0
"mse","alpha","K",100,-0.325713691713692,-0.376133021333021,-0.281944697944698,0.325713691713692,0,0
"mse","alpha","d",100,-0.0133009093009093,-0.0560795732795733,0.0258194862194862,0.0248890688890689,0,0
"mse","alpha","gamma",100,0.0105574005574006,-0.0427183639183639,0.0556054828054828,0.0281256281256281,0,0
"mse","alpha","mu",100,-0.00162528762528763,-0.0376992676992677,0.0363080619080619,0.0191019611019611,0,0
"mse","alpha","rho",100,-0.00722392322392322,-0.0585346221346221,0.0425866877866878,0.0316764796764797,0,0
"mse","d","K",100,-0.836109134109134,-0.868576454176454,-0.804606813006813,0.836109134109134,1,1
"mse","d","gamma",100,-0.803344847344847,-0.820352335952336,-0.781351017751018,0.803344847344847,1,1
"mse","d","mu",100,0.00232056832056832,-0.0354712554712555,0.0405074937074937,0.0220995400995401,0,0
"mse","d","rho",100,0.880324474324474,0.865290025290025,0.892496002496003,0.880324474324474,1,1
"mse","gamma","K",100,0.509112239112239,0.467929775929776,0.561066611466612,0.509112239112239,0.58,0
"mse","gamma","mu",100,0.00193413193413193,-0.0463941967941968,0.0373038013038013,0.0184080184080184,0,0
"mse","gamma","rho",100,-0.958877176877177,-0.969664699264699,-0.946296112296112,0.958877176877177,1,1
"mse","mu","rho",100,0.0011972411972412,-0.0406626514626515,0.0437310641310641,0.0205967785967786,0,0
"ou","K","mu",100,-0.000865944865944866,-0.0415771555771556,0.0380691500691501,0.0188655848655849,0,0
"ou","K","p",100,-0.436980760980761,-0.478600457800458,-0.400590582990583,0.436980760980761,0.01,0
"ou","alpha","K",100,-0.380189858189858,-0.415893598293598,-0.331354514554515,0.380189858189858,0,0
"ou","alpha","c",100,-0.00458653658653659,-0.0402186966186966,0.039948855948856,0.0214326574326574,0,0
"ou","alpha","mu",100,0.00415348615348615,-0.0350245262245262,0.0413233145233145,0.021024339024339,0,0
"ou","alpha","p",100,0.00385558585558586,-0.0380539976539977,0.0387845703845704,0.0225754905754906,0,0
"ou","c","K",100,-0.83356583956584,-0.849863005463006,-0.81522759042759,0.83356583956584,1,1
"ou","c","mu",100,-0.00694753294753295,-0.0410601122601123,0.0298326262326263,0.0191706911706912,0,0
"ou","c","p",100,0.740532662532663,0.717965486765487,0.759863279063279,0.740532662532663,1,0.98
"ou","mu","p",100,-0.00458265458265458,-0.0437778701778702,0.0357099645099645,0.0185752325752326,0,0
"rate_state","1-B","K",100,-0.786011712011712,-0.807369276969277,-0.765619894819895,0.786011712011712,1,1
"rate_state","1-B","alpha",100,-0.0075938055938056,-0.0482417762417762,0.0298277878277878,0.0221890421890422,0,0
"rate_state","1-B","mu",100,0.00479066879066879,-0.0472835824835825,0.0381620445620446,0.0221346581346581,0,0
"rate_state","1-B","ta",100,-0.587396633396634,-0.615562963162963,-0.55162783042783,0.587396633396634,1,0
"rate_state","K","mu",100,-0.000824154824154824,-0.0419565095565096,0.0429808281808282,0.0220565860565861,0,0
"rate_state","K","ta",100,0.118851430851431,0.0709343773343773,0.157654138054138,0.118851430851431,0,0
"rate_state","alpha","K",100,-0.31784732984733,-0.361925190725191,-0.273540953940954,0.31784732984733,0,0
"rate_state","alpha","mu",100,0.00558004758004758,-0.0350058254058254,0.0391238815238815,0.0198432138432138,0,0
"rate_state","alpha","ta",100,-0.00711978711978712,-0.0372731172731173,0.0383910215910216,0.0200544860544861,0,0
"rate_state","mu","ta",100,-0.00267656067656068,-0.0451592743592744,0.0482619746619747,0.0248560328560329,0,0
