"truth_kernel","rep","parameter_1","parameter_2","correlation"
"ou",1,"c","p",0.746918282918283
"ou",2,"c","p",0.730461034461034
"ou",3,"c","p",0.708320472320472
"ou",4,"c","p",0.746809622809623
"ou",5,"c","p",0.731959043959044
"ou",6,"c","p",0.727754767754768
"ou",7,"c","p",0.74139756939757
"ou",8,"c","p",0.751408567408568
"ou",9,"c","p",0.738759930759931
"ou",10,"c","p",0.753972801972802
"ou",11,"c","p",0.752635892635893
"ou",12,"c","p",0.74197962997963
"ou",13,"c","p",0.753377001377001
"ou",14,"c","p",0.737319725319725
"ou",15,"c","p",0.757317385317385
"ou",16,"c","p",0.718080754080754
"ou",17,"c","p",0.731699027699028
"ou",18,"c","p",0.748170628170628
"ou",19,"c","p",0.768951456951457
"ou",20,"c","p",0.734924498924499
"ou",21,"c","p",0.726145182145182
"ou",22,"c","p",0.732798576798577
"ou",23,"c","p",0.705656097656098
"ou",24,"c","p",0.753241113241113
"ou",25,"c","p",0.695313791313791
"ou",26,"c","p",0.744970956970957
"ou",27,"c","p",0.746890274890275
"ou",28,"c","p",0.716186564186564
"ou",29,"c","p",0.744499728499729
"ou",30,"c","p",0.755372147372147
"ou",31,"c","p",0.742572286572287
"ou",32,"c","p",0.721740433740434
"ou",33,"c","p",0.773587661587662
"ou",34,"c","p",0.731757647757648
"ou",35,"c","p",0.731571551571552
"ou",36,"c","p",0.717924333924334
"ou",37,"c","p",0.728691692691693
"ou",38,"c","p",0.760118884118884
"ou",39,"c","p",0.726340566340566
"ou",40,"c","p",0.729738321738322
"ou",41,"c","p",0.722139746139746
"ou",42,"c","p",0.743744651744652
"ou",43,"c","p",0.739629343629344
"ou",44,"c","p",0.735988131988132
"ou",45,"c","p",0.747243399243399
"ou",46,"c","p",0.75411205011205
"ou",47,"c","p",0.719586731586732
"ou",48,"c","p",0.766969810969811
"ou",49,"c","p",0.748083724083724
"ou",50,"c","p",0.73816767016767
"ou",51,"c","p",0.734855174855175
"ou",52,"c","p",0.752201528201528
"ou",53,"c","p",0.728942252942253
"ou",54,"c","p",0.765171441171441
"ou",55,"c","p",0.722856362856363
"ou",56,"c","p",0.711179727179727
"ou",57,"c","p",0.716102936102936
"ou",58,"c","p",0.721253725253725
"ou",59,"c","p",0.71397572997573
"ou",60,"c","p",0.742514590514591
"ou",61,"c","p",0.724813036813037
"ou",62,"c","p",0.711758511758512
"ou",63,"c","p",0.750347442347442
"ou",64,"c","p",0.742993414993415
"ou",65,"c","p",0.734855102855103
"ou",66,"c","p",0.759738255738256
"ou",67,"c","p",0.735563607563608
"ou",68,"c","p",0.74992994992995
"ou",69,"c","p",0.784458748458749
"ou",70,"c","p",0.733213117213117
"ou",71,"c","p",0.720779952779953
"ou",72,"c","p",0.731303087303087
"ou",73,"c","p",0.745290781290781
"ou",74,"c","p",0.726339102339102
"ou",75,"c","p",0.756589416589417
"ou",76,"c","p",0.738505626505627
"ou",77,"c","p",0.741428061428062
"ou",78,"c","p",0.76358821958822
"ou",79,"c","p",0.723620343620344
"ou",80,"c","p",0.743175251175251
"ou",81,"c","p",0.72416356016356
"ou",82,"c","p",0.740422064422064
"ou",83,"c","p",0.757168909168909
"ou",84,"c","p",0.732727092727093
"ou",85,"c","p",0.750112038112038
"ou",86,"c","p",0.727079863079863
"ou",87,"c","p",0.745775485775486
"ou",88,"c","p",0.758644730644731
"ou",89,"c","p",0.742726726726727
"ou",90,"c","p",0.745139617139617
"ou",91,"c","p",0.717943965943966
"ou",92,"c","p",0.74752695952696
"ou",93,"c","p",0.757090873090873
"ou",94,"c","p",0.728182796182796
"ou",95,"c","p",0.726913662913663
"ou",96,"c","p",0.733217713217713
"ou",97,"c","p",0.747739503739504
"ou",98,"c","p",0.737442437442438
"ou",99,"c","p",0.729283005283005
"ou",100,"c","p",0.73341178941179
"mse",1,"d","rho",0.890175914175914
"mse",1,"gamma","rho",-0.964597948597949
"mse",1,"d","gamma",-0.808283692283692
"mse",2,"d","rho",0.890537234537235
"mse",2,"gamma","rho",-0.9476621996622
"mse",2,"d","gamma",-0.812876756876757
"mse",3,"d","rho",0.8678316998317
"mse",3,"gamma","rho",-0.955807231807232
"mse",3,"d","gamma",-0.79015981015981
"mse",4,"d","rho",0.87364920964921
"mse",4,"gamma","rho",-0.959386607386608
"mse",4,"d","gamma",-0.787303987303987
"mse",5,"d","rho",0.888508896508897
"mse",5,"gamma","rho",-0.955063363063363
"mse",5,"d","gamma",-0.808965028965029
"mse",6,"d","rho",0.867164967164967
"mse",6,"gamma","rho",-0.956592980592981
"mse",6,"d","gamma",-0.788116868116868
"mse",7,"d","rho",0.874968094968095
"mse",7,"gamma","rho",-0.962652422652423
"mse",7,"d","gamma",-0.798962946962947
"mse",8,"d","rho",0.886990366990367
"mse",8,"gamma","rho",-0.952184644184644
"mse",8,"d","gamma",-0.802229998229998
"mse",9,"d","rho",0.865448221448222
"mse",9,"gamma","rho",-0.972309372309372
"mse",9,"d","gamma",-0.795715083715084
"mse",10,"d","rho",0.876750036750037
"mse",10,"gamma","rho",-0.950921234921235
"mse",10,"d","gamma",-0.793182745182745
"mse",11,"d","rho",0.872410124410125
"mse",11,"gamma","rho",-0.96947514947515
"mse",11,"d","gamma",-0.796382932382933
"mse",12,"d","rho",0.88943884943885
"mse",12,"gamma","rho",-0.951374619374619
"mse",12,"d","gamma",-0.81341724941725
"mse",13,"d","rho",0.884836388836389
"mse",13,"gamma","rho",-0.958810558810559
"mse",13,"d","gamma",-0.801223749223749
"mse",14,"d","rho",0.89042591042591
"mse",14,"gamma","rho",-0.939770691770692
"mse",14,"d","gamma",-0.803768915768916
"mse",15,"d","rho",0.870274698274698
"mse",15,"gamma","rho",-0.956987984987985
"mse",15,"d","gamma",-0.781916701916702
"mse",16,"d","rho",0.873058305058305
"mse",16,"gamma","rho",-0.960967464967465
"mse",16,"d","gamma",-0.796159408159408
"mse",17,"d","rho",0.871873807873808
