"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","converged","hit_max","n_iter","n_cpo_fail","status","error","file"
"ou","ou",1,1001,1000001,2515,1.66540794769923,TRUE,FALSE,29,0,"existing",NA,"rep_0001_fit_ou.rds"
"ou","mse",1,1001,1000002,2515,0.954930782318115,TRUE,FALSE,10,0,"existing",NA,"rep_0001_fit_mse.rds"
"ou","rate_state",1,1001,1000003,2515,0.497354213396708,TRUE,FALSE,5,1,"existing",NA,"rep_0001_fit_rate_state.rds"
"ou","ou",2,1002,1000004,4295,4.62758586406708,TRUE,FALSE,32,0,"existing",NA,"rep_0002_fit_ou.rds"
"ou","mse",2,1002,1000005,4295,6.45269659757614,TRUE,FALSE,34,0,"existing",NA,"rep_0002_fit_mse.rds"
"ou","rate_state",2,1002,1000006,4295,2.28890803257624,TRUE,FALSE,13,1,"existing",NA,"rep_0002_fit_rate_state.rds"
"ou","ou",3,1003,1000007,3603,4.46239128510157,TRUE,FALSE,35,0,"existing",NA,"rep_0003_fit_ou.rds"
"ou","mse",3,1003,1000008,3603,5.66950903336207,TRUE,FALSE,36,0,"existing",NA,"rep_0003_fit_mse.rds"
"ou","rate_state",3,1003,1000009,3603,4.46166548331579,TRUE,FALSE,33,0,"existing",NA,"rep_0003_fit_rate_state.rds"
"ou","ou",4,1004,1000010,1639,0.8729860663414,TRUE,FALSE,23,0,"existing",NA,"rep_0004_fit_ou.rds"
"ou","mse",4,1004,1000011,1639,1.18238935073217,TRUE,FALSE,28,0,"existing",NA,"rep_0004_fit_mse.rds"
"ou","rate_state",4,1004,1000012,1639,6.61763576666514,FALSE,TRUE,100,1,"existing",NA,"rep_0004_fit_rate_state.rds"
"ou","ou",5,1005,1000013,1962,1.81044421593348,TRUE,FALSE,27,0,"existing",NA,"rep_0005_fit_ou.rds"
"ou","mse",5,1005,1000014,1962,1.99508548180262,TRUE,FALSE,28,0,"existing",NA,"rep_0005_fit_mse.rds"
"ou","rate_state",5,1005,1000015,1962,7.53245811462402,FALSE,TRUE,100,1,"existing",NA,"rep_0005_fit_rate_state.rds"
"ou","ou",6,1006,1000016,1810,1.52224938074748,TRUE,FALSE,24,0,"existing",NA,"rep_0006_fit_ou.rds"
"ou","mse",6,1006,1000017,1810,2.38097138404846,TRUE,FALSE,31,0,"existing",NA,"rep_0006_fit_mse.rds"
"ou","rate_state",6,1006,1000018,1810,3.61879088481267,TRUE,FALSE,55,0,"existing",NA,"rep_0006_fit_rate_state.rds"
"ou","ou",7,1007,1000019,3791,3.04525970220566,TRUE,FALSE,32,0,"existing",NA,"rep_0007_fit_ou.rds"
"ou","mse",7,1007,1000020,3791,6.28250913619995,TRUE,FALSE,46,0,"existing",NA,"rep_0007_fit_mse.rds"
"ou","rate_state",7,1007,1000021,3791,5.90260936816533,TRUE,FALSE,42,0,"existing",NA,"rep_0007_fit_rate_state.rds"
"ou","ou",8,1008,1000022,1793,1.50934626658758,TRUE,FALSE,26,0,"existing",NA,"rep_0008_fit_ou.rds"
"ou","mse",8,1008,1000023,1793,1.9510867635409,TRUE,FALSE,29,0,"existing",NA,"rep_0008_fit_mse.rds"
"ou","rate_state",8,1008,1000024,1793,3.19088598092397,TRUE,FALSE,52,0,"existing",NA,"rep_0008_fit_rate_state.rds"
"ou","ou",9,1009,1000025,1994,2.13301793336868,TRUE,FALSE,28,0,"existing",NA,"rep_0009_fit_ou.rds"
"ou","mse",9,1009,1000026,1994,0.582696350415548,TRUE,FALSE,6,0,"existing",NA,"rep_0009_fit_mse.rds"
"ou","rate_state",9,1009,1000027,1994,2.22921153306961,TRUE,FALSE,31,0,"existing",NA,"rep_0009_fit_rate_state.rds"
"ou","ou",10,1010,1000028,7596,13.7258609652519,TRUE,FALSE,40,0,"existing",NA,"rep_0010_fit_ou.rds"
"ou","mse",10,1010,1000029,7596,23.2279726147652,TRUE,FALSE,44,0,"existing",NA,"rep_0010_fit_mse.rds"
"ou","rate_state",10,1010,1000030,7596,27.870648864905,TRUE,FALSE,82,0,"existing",NA,"rep_0010_fit_rate_state.rds"
"ou","ou",11,1011,1000031,2214,1.63322963317235,TRUE,FALSE,26,0,"existing",NA,"rep_0011_fit_ou.rds"
"ou","mse",11,1011,1000032,2214,0.537922215461731,TRUE,FALSE,7,0,"existing",NA,"rep_0011_fit_mse.rds"
"ou","rate_state",11,1011,1000033,2214,0.445478916168213,TRUE,FALSE,6,1,"existing",NA,"rep_0011_fit_rate_state.rds"
"ou","ou",12,1012,1000034,2458,2.29125841458639,TRUE,FALSE,27,0,"existing",NA,"rep_0012_fit_ou.rds"
"ou","mse",12,1012,1000035,2458,2.3440175652504,TRUE,FALSE,25,0,"existing",NA,"rep_0012_fit_mse.rds"
"ou","rate_state",12,1012,1000036,2458,2.18952753543854,TRUE,FALSE,26,0,"existing",NA,"rep_0012_fit_rate_state.rds"
"ou","ou",13,1013,1000037,6385,15.0612137476603,TRUE,FALSE,46,0,"existing",NA,"rep_0013_fit_ou.rds"
"ou","mse",13,1013,1000038,6385,14.1013891498248,TRUE,FALSE,42,0,"existing",NA,"rep_0013_fit_mse.rds"
"ou","rate_state",13,1013,1000039,6385,3.93692153294881,TRUE,FALSE,14,1,"existing",NA,"rep_0013_fit_rate_state.rds"
"ou","ou",14,1014,1000040,2116,1.75023566484451,TRUE,FALSE,27,0,"existing",NA,"rep_0014_fit_ou.rds"
"ou","mse",14,1014,1000041,2116,0.550308799743652,TRUE,FALSE,7,0,"existing",NA,"rep_0014_fit_mse.rds"
"ou","rate_state",14,1014,1000042,2116,2.11508586804072,TRUE,FALSE,33,0,"existing",NA,"rep_0014_fit_rate_state.rds"
"ou","ou",15,1015,1000043,4240,5.76708823045095,TRUE,FALSE,38,0,"existing",NA,"rep_0015_fit_ou.rds"
"ou","mse",15,1015,1000044,4240,33.3818071484566,FALSE,TRUE,100,1,"existing",NA,"rep_0015_fit_mse.rds"
"ou","rate_state",15,1015,1000045,4240,12.6372405687968,FALSE,TRUE,100,1,"existing",NA,"rep_0015_fit_rate_state.rds"
"ou","ou",16,1016,1000046,4142,7.20806201696396,TRUE,FALSE,41,0,"existing",NA,"rep_0016_fit_ou.rds"
"ou","mse",16,1016,1000047,4142,7.22034735282262,TRUE,FALSE,37,0,"existing",NA,"rep_0016_fit_mse.rds"
"ou","rate_state",16,1016,1000048,4142,6.20577401717504,TRUE,FALSE,42,0,"existing",NA,"rep_0016_fit_rate_state.rds"
"ou","ou",17,1017,1000049,2386,2.27347470124563,TRUE,FALSE,29,0,"existing",NA,"rep_0017_fit_ou.rds"
"ou","mse",17,1017,1000050,2386,2.1566076318423,TRUE,FALSE,27,0,"existing",NA,"rep_0017_fit_mse.rds"
"ou","rate_state",17,1017,1000051,2386,2.21207186778386,TRUE,FALSE,33,0,"existing",NA,"rep_0017_fit_rate_state.rds"
"ou","ou",18,1018,1000052,2624,2.38658580382665,TRUE,FALSE,30,0,"existing",NA,"rep_0018_fit_ou.rds"
"ou","mse",18,1018,1000053,2624,2.18496073484421,TRUE,FALSE,26,0,"existing",NA,"rep_0018_fit_mse.rds"
"ou","rate_state",18,1018,1000054,2624,0.861147197087606,TRUE,FALSE,9,1,"existing",NA,"rep_0018_fit_rate_state.rds"
"ou","ou",19,1019,1000055,2998,3.84169533252716,TRUE,FALSE,34,0,"existing",NA,"rep_0019_fit_ou.rds"
"ou","mse",19,1019,1000056,2998,4.3073978304863,TRUE,FALSE,33,0,"existing",NA,"rep_0019_fit_mse.rds"
"ou","rate_state",19,1019,1000057,2998,7.23237388134003,TRUE,FALSE,70,0,"existing",NA,"rep_0019_fit_rate_state.rds"
"ou","ou",20,1020,1000058,2032,1.89182814757029,TRUE,FALSE,26,0,"existing",NA,"rep_0020_fit_ou.rds"
"ou","mse",20,1020,1000059,2032,2.33856074810028,TRUE,FALSE,32,0,"existing",NA,"rep_0020_fit_mse.rds"
"ou","rate_state",20,1020,1000060,2032,3.12281609773636,TRUE,FALSE,51,0,"existing",NA,"rep_0020_fit_rate_state.rds"
"ou","ou",21,1021,1000061,2297,1.79806512991587,TRUE,FALSE,27,0,"existing",NA,"rep_0021_fit_ou.rds"
"ou","mse",21,1021,1000062,2297,0.613678598403931,TRUE,FALSE,7,0,"existing",NA,"rep_0021_fit_mse.rds"
"ou","rate_state",21,1021,1000063,2297,3.29445136388143,TRUE,FALSE,51,0,"existing",NA,"rep_0021_fit_rate_state.rds"
"ou","ou",22,1022,1000064,2199,2.0408860484759,TRUE,FALSE,29,0,"existing",NA,"rep_0022_fit_ou.rds"
"ou","mse",22,1022,1000065,2199,0.516884382565816,TRUE,FALSE,6,0,"existing",NA,"rep_0022_fit_mse.rds"
"ou","rate_state",22,1022,1000066,2199,1.93686266740163,TRUE,FALSE,29,0,"existing",NA,"rep_0022_fit_rate_state.rds"
"ou","ou",23,1023,1000067,3707,4.46008668343226,TRUE,FALSE,38,0,"existing",NA,"rep_0023_fit_ou.rds"
"ou","mse",23,1023,1000068,3707,2.54159245093664,TRUE,FALSE,13,0,"existing",NA,"rep_0023_fit_mse.rds"
"ou","rate_state",23,1023,1000069,3707,5.91086830298106,TRUE,FALSE,41,0,"existing",NA,"rep_0023_fit_rate_state.rds"
"ou","ou",24,1024,1000070,2029,1.7506710489591,TRUE,FALSE,26,0,"existing",NA,"rep_0024_fit_ou.rds"
"ou","mse",24,1024,1000071,2029,2.05431254704793,TRUE,FALSE,28,0,"existing",NA,"rep_0024_fit_mse.rds"
"ou","rate_state",24,1024,1000072,2029,0.722587180137634,TRUE,FALSE,9,1,"existing",NA,"rep_0024_fit_rate_state.rds"
"ou","ou",25,1025,1000073,1767,1.31275308132172,TRUE,FALSE,23,0,"existing",NA,"rep_0025_fit_ou.rds"
