"prior","rep","status","usable","converged","n_iter","min_sd","degenerate","runtime_minutes"
"wide_lognormal",88,"inla_failure",FALSE,FALSE,65,7.43414865854341e-06,FALSE,1.70101833343506
"wide_lognormal",81,"hit_max",FALSE,FALSE,100,0.013000306015639,FALSE,2.87741056680679
"wide_lognormal",72,"inla_failure",FALSE,FALSE,7,1.40681687783489e-68,TRUE,0.240695118904114
"wide_lognormal",4,"inla_failure",FALSE,FALSE,53,0,TRUE,1.35430610179901
"wide_lognormal",97,"hit_max",FALSE,FALSE,100,0.00770779279700208,FALSE,3.15120035012563
"uniform_1_200",88,"hit_max",FALSE,FALSE,100,0.0101315948638363,FALSE,2.63345271746318
"uniform_1_200",81,"inla_failure",FALSE,FALSE,12,5.04018609858719e-75,TRUE,0.436491803328196
"uniform_1_200",72,"hit_max",FALSE,FALSE,100,0.0104876469636459,FALSE,2.69141353368759
"uniform_1_200",4,"hit_max",FALSE,FALSE,100,8.48832546148475e-70,TRUE,2.6173015832901
"uniform_1_200",97,"inla_failure",FALSE,FALSE,64,7.41617597045106e-42,TRUE,2.38405514955521
