"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"ou","mse",4,1004,1000011,6181,24.5580408175786,"inla_failure",FALSE,FALSE,TRUE,FALSE,FALSE,29,0.00593357401132265,FALSE,"fitted",NA,"rep_0004_fit_mse.rds"
"ou","mse",41,1041,1000122,5385,52.2870376865069,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00472212753597807,FALSE,"fitted",NA,"rep_0041_fit_mse.rds"
"ou","mse",44,1044,1000131,3384,29.8217901031176,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00771701357412802,FALSE,"fitted",NA,"rep_0044_fit_mse.rds"
"mse","rate_state",1,2001,1000303,2682,10.2160505175591,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.54846225429017e-95,TRUE,"existing",NA,"rep_0001_fit_rate_state.rds"
"mse","rate_state",2,2002,1000306,3492,3.11542663574219,"inla_failure",FALSE,FALSE,TRUE,FALSE,FALSE,20,6.78994652957056e-54,TRUE,"existing",NA,"rep_0002_fit_rate_state.rds"
"mse","rate_state",3,2003,1000309,2200,7.34005403518677,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0080653276425166,FALSE,"existing",NA,"rep_0003_fit_rate_state.rds"
"mse","rate_state",4,2004,1000312,1515,6.01871746778488,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0168825588983144,FALSE,"existing",NA,"rep_0004_fit_rate_state.rds"
"mse","rate_state",5,2005,1000315,2240,7.83320680061976,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.07335685729548e-69,TRUE,"existing",NA,"rep_0005_fit_rate_state.rds"
"mse","rate_state",6,2006,1000318,5513,25.4515741149584,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,1.3769535010724e-108,TRUE,"existing",NA,"rep_0006_fit_rate_state.rds"
"mse","rate_state",7,2007,1000321,2938,11.3943864862124,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0120169719946766,FALSE,"existing",NA,"rep_0007_fit_rate_state.rds"
