"kernel","parameter","comparison","overlap","TV"
"ou","K","0.1 -> 0.05",0.972265927545491,0.0277340724545085
"ou","K","0.05 -> 0.01",0.975122939927706,0.0248770600722936
"ou","c","0.1 -> 0.05",0.992177800365194,0.00782219963480594
"ou","c","0.05 -> 0.01",0.993752081673893,0.00624791832610734
"ou","p","0.1 -> 0.05",0.969839768190266,0.0301602318097338
"ou","p","0.05 -> 0.01",0.975006304540514,0.0249936954594859
"mse","K","0.1 -> 0.05",0.953198441716467,0.0468015582835329
"mse","K","0.05 -> 0.01",0.953604299390515,0.046395700609485
"mse","d","0.1 -> 0.05",0.996837847123339,0.0031621528766612
"mse","d","0.05 -> 0.01",0.996151827075985,0.00384817292401471
"mse","rho","0.1 -> 0.05",0.97947932641864,0.0205206735813606
"mse","rho","0.05 -> 0.01",0.978389795158556,0.0216102048414437
"mse","gamma","0.1 -> 0.05",0.979066548060322,0.0209334519396777
"mse","gamma","0.05 -> 0.01",0.977588745065964,0.022411254934036
"rate_state","K","0.1 -> 0.05",0.972217822269382,0.027782177730618
"rate_state","K","0.05 -> 0.01",0.970449376415838,0.0295506235841621
"rate_state","B","0.1 -> 0.05",0.98536510607833,0.0146348939216704
"rate_state","B","0.05 -> 0.01",0.983304095025121,0.0166959049748789
"rate_state","ta","0.1 -> 0.05",0.957415146844614,0.0425848531553862
"rate_state","ta","0.05 -> 0.01",0.95243632643644,0.0475636735635596
