"form","parameter","comparison","overlap","TV"
"ou","K","N8 -> N10",0.996906118988876,0.00309388101112396
"ou","K","N10 -> N12",0.998968423364969,0.0010315766350314
"ou","K","N12 -> N14",0.999571980993661,0.000428019006338903
"ou","K","N14 -> N16",0.999992570922903,7.42907709669511e-06
"ou","c","N8 -> N10",0.991781780010476,0.00821821998952421
"ou","c","N10 -> N12",0.997505395605832,0.00249460439416799
"ou","c","N12 -> N14",0.999680848783475,0.000319151216524577
"ou","c","N14 -> N16",0.999995121285926,4.87871407422487e-06
"ou","p","N8 -> N10",0.985602575576105,0.0143974244238948
"ou","p","N10 -> N12",0.995715531644203,0.00428446835579713
"ou","p","N12 -> N14",0.999383704433156,0.000616295566844181
"ou","p","N14 -> N16",0.999990135567578,9.86443242225551e-06
"mse","K","N8 -> N10",0.98295805337392,0.0170419466260805
"mse","K","N10 -> N12",0.99593304585128,0.0040669541487205
"mse","K","N12 -> N14",0.996460529242598,0.00353947075740238
"mse","K","N14 -> N16",0.999847475830237,0.000152524169762967
"mse","d","N8 -> N10",0.965169476947803,0.0348305230521974
"mse","d","N10 -> N12",0.990411979905107,0.00958802009489266
"mse","d","N12 -> N14",0.998016541631143,0.0019834583688566
"mse","d","N14 -> N16",0.999964419110085,3.55808899147589e-05
"mse","rho","N8 -> N10",0.951832544393197,0.0481674556068035
"mse","rho","N10 -> N12",0.98576285331918,0.0142371466808197
"mse","rho","N12 -> N14",0.994949395348949,0.00505060465105131
"mse","rho","N14 -> N16",0.999869010956393,0.000130989043606856
"mse","gamma","N8 -> N10",0.929205537317064,0.0707944626829358
"mse","gamma","N10 -> N12",0.9810774218321,0.0189225781679
"mse","gamma","N12 -> N14",0.995300621895019,0.00469937810498129
"mse","gamma","N14 -> N16",0.999897385239722,0.000102614760277672
"rate_state","K","N8 -> N10",0.98866732316273,0.0113326768372695
"rate_state","K","N10 -> N12",0.99212158833194,0.00787841166805946
"rate_state","K","N12 -> N14",0.99980400407677,0.000195995923229524
"rate_state","K","N14 -> N16",0.999995026622365,4.97337763504812e-06
"rate_state","B","N8 -> N10",0.913638444507485,0.0863615554925146
"rate_state","B","N10 -> N12",0.941222529305717,0.0587774706942834
"rate_state","B","N12 -> N14",0.992932550544671,0.00706744945532885
"rate_state","B","N14 -> N16",0.999994856799121,5.14320087886321e-06
"rate_state","ta","N8 -> N10",0.845601767770973,0.154398232229027
"rate_state","ta","N10 -> N12",0.874293144951515,0.125706855048485
"rate_state","ta","N12 -> N14",0.985312800775961,0.0146871992240391
"rate_state","ta","N14 -> N16",0.999993780879779,6.21912022133439e-06
