"truth_form","fitted_form","binning","coef_t","delta_t","N_max","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","usable","file"
"ou","ou","N8",1,0.1,8,2810,0.844402515888214,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00655561600848964,FALSE,TRUE,"truth_ou_fit_ou_N8.rds"
"ou","ou","N10",1,0.1,10,2810,0.870853050549825,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00655621609311384,FALSE,TRUE,"truth_ou_fit_ou_N10.rds"
"ou","ou","N12",1,0.1,12,2810,0.916277647018433,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00655626250808341,FALSE,TRUE,"truth_ou_fit_ou_N12.rds"
"ou","ou","N14",1,0.1,14,2810,0.982055465380351,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.0065561536486188,FALSE,TRUE,"truth_ou_fit_ou_N14.rds"
"ou","ou","N16",1,0.1,16,2810,0.968525099754334,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00655615207457823,FALSE,TRUE,"truth_ou_fit_ou_N16.rds"
"mse","mse","N8",1,0.1,8,3020,1.48505243460337,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,27,0.00627136306481255,FALSE,TRUE,"truth_mse_fit_mse_N8.rds"
"mse","mse","N10",1,0.1,10,3020,1.48898321787516,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,27,0.00627114206055019,FALSE,TRUE,"truth_mse_fit_mse_N10.rds"
"mse","mse","N12",1,0.1,12,3020,1.55668355226517,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,27,0.00627027809118669,FALSE,TRUE,"truth_mse_fit_mse_N12.rds"
"mse","mse","N14",1,0.1,14,3020,1.52034957011541,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.00626924278351728,FALSE,TRUE,"truth_mse_fit_mse_N14.rds"
"mse","mse","N16",1,0.1,16,3020,1.52601523001989,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.00626920581590675,FALSE,TRUE,"truth_mse_fit_mse_N16.rds"
"rate_state","rate_state","N8",1,0.1,8,2506,0.929320331414541,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.00677040537444906,FALSE,TRUE,"truth_rate_state_fit_rate_state_N8.rds"
"rate_state","rate_state","N10",1,0.1,10,2506,0.936424382527669,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.0067736492418212,FALSE,TRUE,"truth_rate_state_fit_rate_state_N10.rds"
"rate_state","rate_state","N12",1,0.1,12,2506,1.08563034931819,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.0067771459203054,FALSE,TRUE,"truth_rate_state_fit_rate_state_N12.rds"
"rate_state","rate_state","N14",1,0.1,14,2506,1.09946910142899,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.0067774344712931,FALSE,TRUE,"truth_rate_state_fit_rate_state_N14.rds"
"rate_state","rate_state","N16",1,0.1,16,2506,1.10189355214437,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.00677743407190752,FALSE,TRUE,"truth_rate_state_fit_rate_state_N16.rds"
