"kernel","n_total","n_pre_mainshock","n_post_mainshock","max_magnitude","max_generation","rep","seed"
"ou",1387,119,1268,7.1,11,1,910001
"mse",1564,119,1445,7.1,11,1,910002
"rate_state",3420,91,3329,7.1,12,1,910003
"ou",3387,84,3303,7.1,19,2,910004
"mse",3543,139,3404,7.1,19,2,910005
"rate_state",2900,445,2455,7.1,13,2,910006
"ou",3360,994,2366,7.1,12,3,910007
"mse",1886,270,1616,7.1,13,3,910008
"rate_state",1561,123,1438,7.1,8,3,910009
"ou",1909,223,1686,7.1,10,4,910010
"mse",2014,201,1813,7.1,9,4,910011
"rate_state",1816,95,1721,7.1,9,4,910012
"ou",1803,105,1698,7.1,9,5,910013
"mse",5292,140,5152,7.1,23,5,910014
"rate_state",1728,171,1557,7.1,15,5,910015
"ou",1918,81,1837,7.1,11,6,910016
"mse",1725,205,1520,7.1,10,6,910017
"rate_state",2176,245,1931,7.1,10,6,910018
"ou",9043,311,8732,7.1,19,7,910019
"mse",2001,60,1941,7.1,8,7,910020
"rate_state",3826,118,3708,7.1,14,7,910021
"ou",6030,78,5952,7.1,17,8,910022
"mse",5854,87,5767,7.1,16,8,910023
"rate_state",1508,331,1177,7.1,9,8,910024
"ou",3527,813,2714,7.1,9,9,910025
"mse",2096,134,1962,7.1,10,9,910026
"rate_state",2521,77,2444,7.1,13,9,910027
"ou",1432,174,1258,7.1,7,10,910028
"mse",1424,99,1325,7.1,11,10,910029
"rate_state",2234,106,2128,7.1,15,10,910030
"ou",2676,120,2556,7.1,15,11,910031
"mse",8482,132,8350,7.1,20,11,910032
"rate_state",2431,77,2354,7.1,14,11,910033
"ou",6192,272,5920,7.1,18,12,910034
"mse",2011,112,1899,7.1,12,12,910035
"rate_state",1509,74,1435,7.1,10,12,910036
"ou",2025,91,1934,7.1,11,13,910037
"mse",3712,83,3629,7.1,15,13,910038
"rate_state",3100,199,2901,7.1,12,13,910039
"ou",1871,197,1674,7.1,13,14,910040
"mse",3992,95,3897,7.1,16,14,910041
"rate_state",2720,753,1967,7.1,14,14,910042
"ou",3930,145,3785,7.1,12,15,910043
"mse",2273,93,2180,7.1,15,15,910044
"rate_state",5829,115,5714,7.1,18,15,910045
