"form","parameter","comparison","overlap","TV"
"ou","K","0.1 -> 0.05",0.976499992900254,0.0235000070997464
"ou","K","0.05 -> 0.01",0.979961881393837,0.0200381186061635
"ou","c","0.1 -> 0.05",0.991506857234693,0.00849314276530715
"ou","c","0.05 -> 0.01",0.993520342647215,0.00647965735278456
"ou","p","0.1 -> 0.05",0.962715935197185,0.0372840648028147
"ou","p","0.05 -> 0.01",0.970312625179245,0.0296873748207547
"mse","K","0.1 -> 0.05",0.965273325522261,0.0347266744777387
"mse","K","0.05 -> 0.01",0.973333294108552,0.0266667058914478
"mse","d","0.1 -> 0.05",0.993310437409973,0.00668956259002664
"mse","d","0.05 -> 0.01",0.994444775891057,0.00555522410894262
"mse","rho","0.1 -> 0.05",0.971153512506854,0.0288464874931464
"mse","rho","0.05 -> 0.01",0.977060783626667,0.0229392163733327
"mse","gamma","0.1 -> 0.05",0.978540679567908,0.0214593204320924
"mse","gamma","0.05 -> 0.01",0.98220469352437,0.0177953064756302
"rate_state","K","0.1 -> 0.05",0.950344057657911,0.0496559423420888
"rate_state","K","0.05 -> 0.01",0.959826944851966,0.0401730551480336
"rate_state","B","0.1 -> 0.05",0.961219110883353,0.0387808891166473
"rate_state","B","0.05 -> 0.01",0.968378170369483,0.031621829630517
"rate_state","ta","0.1 -> 0.05",0.895147515680465,0.104852484319535
"rate_state","ta","0.05 -> 0.01",0.914804908077814,0.0851950919221858
