"kernel","rep","seed","n_events","file"
"ou",1,1001,2515,"ou_001.rds"
"ou",2,1002,4295,"ou_002.rds"
"ou",3,1003,3603,"ou_003.rds"
"ou",4,1004,1639,"ou_004.rds"
"ou",5,1005,1962,"ou_005.rds"
"ou",6,1006,1810,"ou_006.rds"
"ou",7,1007,3791,"ou_007.rds"
"ou",8,1008,1793,"ou_008.rds"
"ou",9,1009,1994,"ou_009.rds"
"ou",10,1010,7596,"ou_010.rds"
"ou",11,1011,2214,"ou_011.rds"
"ou",12,1012,2458,"ou_012.rds"
"ou",13,1013,6385,"ou_013.rds"
"ou",14,1014,2116,"ou_014.rds"
"ou",15,1015,4240,"ou_015.rds"
"ou",16,1016,4142,"ou_016.rds"
"ou",17,1017,2386,"ou_017.rds"
"ou",18,1018,2624,"ou_018.rds"
"ou",19,1019,2998,"ou_019.rds"
"ou",20,1020,2032,"ou_020.rds"
"ou",21,1021,2297,"ou_021.rds"
"ou",22,1022,2199,"ou_022.rds"
"ou",23,1023,3707,"ou_023.rds"
"ou",24,1024,2029,"ou_024.rds"
"ou",25,1025,1767,"ou_025.rds"
"ou",26,1026,2396,"ou_026.rds"
"ou",27,1027,2361,"ou_027.rds"
"ou",28,1028,1981,"ou_028.rds"
"ou",29,1029,3333,"ou_029.rds"
"ou",30,1030,2356,"ou_030.rds"
"ou",31,1031,3203,"ou_031.rds"
"ou",32,1032,2572,"ou_032.rds"
"ou",33,1033,1342,"ou_033.rds"
"ou",34,1034,1973,"ou_034.rds"
"ou",35,1035,1557,"ou_035.rds"
"ou",36,1036,1334,"ou_036.rds"
"ou",37,1037,4689,"ou_037.rds"
"ou",38,1038,2513,"ou_038.rds"
"ou",39,1039,2590,"ou_039.rds"
"ou",40,1040,3529,"ou_040.rds"
"ou",41,1041,5394,"ou_041.rds"
"ou",42,1042,1420,"ou_042.rds"
"ou",43,1043,1887,"ou_043.rds"
"ou",44,1044,1971,"ou_044.rds"
"ou",45,1045,1943,"ou_045.rds"
"ou",46,1046,2290,"ou_046.rds"
"ou",47,1047,1287,"ou_047.rds"
"ou",48,1048,1994,"ou_048.rds"
"ou",49,1049,4325,"ou_049.rds"
"ou",50,1050,3769,"ou_050.rds"
"ou",51,1051,2898,"ou_051.rds"
"ou",52,1052,3036,"ou_052.rds"
"ou",53,1053,2764,"ou_053.rds"
"ou",54,1054,1890,"ou_054.rds"
"ou",55,1055,2481,"ou_055.rds"
"ou",56,1056,5205,"ou_056.rds"
"ou",57,1057,1749,"ou_057.rds"
"ou",58,1058,3120,"ou_058.rds"
"ou",59,1059,2147,"ou_059.rds"
"ou",60,1060,3681,"ou_060.rds"
"ou",61,1061,5282,"ou_061.rds"
"ou",62,1062,2255,"ou_062.rds"
"ou",63,1063,2208,"ou_063.rds"
"ou",64,1064,3329,"ou_064.rds"
"ou",65,1065,1663,"ou_065.rds"
"ou",66,1066,2208,"ou_066.rds"
"ou",67,1067,2818,"ou_067.rds"
"ou",68,1068,1472,"ou_068.rds"
"ou",69,1069,1074,"ou_069.rds"
"ou",70,1070,4219,"ou_070.rds"
"ou",71,1071,1612,"ou_071.rds"
"ou",72,1072,1703,"ou_072.rds"
"ou",73,1073,2202,"ou_073.rds"
"ou",74,1074,1788,"ou_074.rds"
"ou",75,1075,6199,"ou_075.rds"
"ou",76,1076,2574,"ou_076.rds"
"ou",77,1077,1800,"ou_077.rds"
"ou",78,1078,6934,"ou_078.rds"
"ou",79,1079,1138,"ou_079.rds"
"ou",80,1080,2221,"ou_080.rds"
"ou",81,1081,1865,"ou_081.rds"
