"kernel","parameter","comparison","overlap","TV"
"ou","K","N8 -> N10",0.993719740532287,0.00628025946771258
"ou","K","N10 -> N12",0.992097896082141,0.00790210391785851
"ou","K","N12 -> N14",0.997614551106715,0.00238544889328474
"ou","K","N14 -> N16",0.999831586538031,0.000168413461969283
"ou","c","N8 -> N10",0.989603358989426,0.010396641010574
"ou","c","N10 -> N12",0.997156325030202,0.0028436749697979
"ou","c","N12 -> N14",0.998439220064997,0.0015607799350035
"ou","c","N14 -> N16",0.999933204608993,6.67953910071123e-05
"ou","p","N8 -> N10",0.975659440805184,0.0243405591948164
"ou","p","N10 -> N12",0.994189263381889,0.00581073661811074
"ou","p","N12 -> N14",0.995104039259335,0.00489596074066518
"ou","p","N14 -> N16",0.999773900190061,0.000226099809939295
"mse","K","N8 -> N10",0.979579137233849,0.0204208627661509
"mse","K","N10 -> N12",0.993136152128782,0.00686384787121842
"mse","K","N12 -> N14",0.784528513940065,0.215471486059935
"mse","K","N14 -> N16",0.999984948421992,1.50515780081214e-05
"mse","d","N8 -> N10",0.956633274759982,0.0433667252400176
"mse","d","N10 -> N12",0.983939289778684,0.0160607102213158
"mse","d","N12 -> N14",0.983032462321763,0.0169675376782371
"mse","d","N14 -> N16",0.999994561849571,5.43815042849185e-06
"mse","rho","N8 -> N10",0.929278411431357,0.0707215885686429
"mse","rho","N10 -> N12",0.971742483377005,0.0282575166229947
"mse","rho","N12 -> N14",0.901412967533724,0.098587032466276
"mse","rho","N14 -> N16",0.9999905919977,9.4080022996964e-06
"mse","gamma","N8 -> N10",0.911315658544732,0.0886843414552677
"mse","gamma","N10 -> N12",0.965961075102406,0.0340389248975936
"mse","gamma","N12 -> N14",0.897986626459766,0.102013373540234
"mse","gamma","N14 -> N16",0.999990255587084,9.74441291564351e-06
"rate_state","K","N8 -> N10",0.990050975792137,0.00994902420786284
"rate_state","K","N10 -> N12",0.943131679712901,0.056868320287099
"rate_state","K","N12 -> N14",0.999328582885909,0.000671417114091177
"rate_state","K","N14 -> N16",0.999991361323325,8.63867667546716e-06
"rate_state","B","N8 -> N10",0.914308686971908,0.0856913130280921
"rate_state","B","N10 -> N12",0.94969980271757,0.0503001972824302
"rate_state","B","N12 -> N14",0.992395440293987,0.00760455970601266
"rate_state","B","N14 -> N16",0.999994097369588,5.9026304119641e-06
"rate_state","ta","N8 -> N10",0.852333190105798,0.147666809894202
"rate_state","ta","N10 -> N12",0.885776866825266,0.114223133174734
"rate_state","ta","N12 -> N14",0.98131097978868,0.0186890202113202
"rate_state","ta","N14 -> N16",0.999990517428453,9.48257154667206e-06
