"kernel","parameter","comparison","overlap","TV"
"ou","K","0.1 -> 0.05",0.999995791155306,4.20884469417476e-06
"ou","K","0.05 -> 0.01",0.999995791155283,4.20884471724215e-06
"ou","c","0.1 -> 0.05",0.999995769413271,4.23058672917595e-06
"ou","c","0.05 -> 0.01",0.999995769413203,4.23058679704768e-06
"ou","p","0.1 -> 0.05",0.999996650668743,3.34933125739125e-06
"ou","p","0.05 -> 0.01",0.999996650668711,3.34933128914294e-06
"mse","K","0.1 -> 0.05",0.999996039953473,3.96004652721342e-06
"mse","K","0.05 -> 0.01",0.999996039953438,3.96004656172636e-06
"mse","d","0.1 -> 0.05",0.999995004661965,4.99533803507539e-06
"mse","d","0.05 -> 0.01",0.999995004661804,4.99533819560836e-06
"mse","rho","0.1 -> 0.05",0.999993580097072,6.41990292843323e-06
"mse","rho","0.05 -> 0.01",0.999995647886965,4.35211303459594e-06
"mse","gamma","0.1 -> 0.05",0.999993903891338,6.09610866177171e-06
"mse","gamma","0.05 -> 0.01",0.999996397246291,3.60275370865471e-06
"rate_state","K","0.1 -> 0.05",0.99999557439622,4.42560377991575e-06
"rate_state","K","0.05 -> 0.01",0.999995574396343,4.42560365727461e-06
"rate_state","B","0.1 -> 0.05",0.999994859908773,5.14009122677805e-06
"rate_state","B","0.05 -> 0.01",0.99999485990894,5.14009106016241e-06
"rate_state","ta","0.1 -> 0.05",0.999996292173847,3.70782615321011e-06
"rate_state","ta","0.05 -> 0.01",0.999996283997694,3.71600230571255e-06
