"kernel","n_fit","n_pre_mainshock","n_post_mainshock","n_forecast","n_total","max_magnitude","max_generation","rep","seed"
"ou",4356,781,3575,396,4752,7.1,18,1,910001
"mse",2533,1429,1104,179,2712,7.1,14,1,910002
"rate_state",2010,144,1866,104,2114,7.1,13,1,910003
"ou",2287,146,2141,498,2785,7.1,12,2,910004
"mse",2008,160,1848,119,2127,7.1,16,2,910005
"rate_state",4132,268,3864,133,4265,7.1,18,2,910006
"ou",2065,332,1733,156,2221,7.1,11,3,910007
"mse",1935,936,999,90,2025,7.1,14,3,910008
"rate_state",2342,204,2138,742,3084,7.1,13,3,910009
"ou",4303,169,4134,399,4702,7.1,16,4,910010
"mse",5125,451,4674,92,5217,7.1,13,4,910011
"rate_state",2382,184,2198,635,3017,7.1,15,4,910012
"ou",1278,272,1006,200,1478,7.1,9,5,910013
"mse",8256,184,8072,113,8369,7.1,16,5,910014
"rate_state",4111,155,3956,185,4296,7.1,19,5,910015
"ou",3543,159,3384,255,3798,7.1,14,6,910016
"mse",2414,312,2102,115,2529,7.1,12,6,910017
"rate_state",2120,1042,1078,245,2365,7.1,13,6,910018
"ou",3638,1678,1960,295,3933,7.1,17,7,910019
"mse",3730,2490,1240,139,3869,7.1,20,7,910020
"rate_state",2121,266,1855,414,2535,7.1,11,7,910021
"ou",1491,186,1305,318,1809,7.1,13,8,910022
"mse",1576,168,1408,2277,3853,7.1,21,8,910023
"rate_state",1489,239,1250,222,1711,7.1,10,8,910024
"ou",5619,1417,4202,1715,7334,7.1,26,9,910025
"mse",1435,219,1216,79,1514,7.1,9,9,910026
"rate_state",1836,368,1468,253,2089,7.1,9,9,910027
"ou",2431,321,2110,224,2655,7.1,10,10,910028
"mse",1366,158,1208,76,1442,7.1,11,10,910029
"rate_state",4289,197,4092,166,4455,7.1,15,10,910030
"ou",1802,192,1610,135,1937,7.1,10,11,910031
"mse",1817,293,1524,126,1943,7.1,13,11,910032
"rate_state",1517,173,1344,104,1621,7.1,8,11,910033
"ou",2201,564,1637,186,2387,7.1,11,12,910034
"mse",1996,121,1875,99,2095,7.1,14,12,910035
"rate_state",3288,315,2973,305,3593,7.1,17,12,910036
