"kernel","ts","magnitudes","gen"
"ou",-1046.30801916329,6.07464897317818,5
"ou",962.585060816952,6.05706313062374,11
"ou",674.009443572299,5.94961761332538,3
"ou",1577.09919954195,5.68493237398798,4
"ou",-1046.81502865792,5.6390427391365,3
"ou",1176.83237305214,5.52956010119555,1
"ou",1466.00875450774,5.47475483107605,3
"ou",403.34088710769,5.46708870299723,4
"ou",-642.505619563095,5.3352617857671,2
"ou",402.500893361568,5.25929258064692,3
"mse",-796.671434247895,6.69485807057545,11
"mse",-177.080736123928,6.69482251972089,13
"mse",-176.640874474292,6.40136964492318,12
"mse",-177.417925460437,6.3465925514986,11
"mse",-1015.37072403404,5.96493227995144,7
"mse",-444.019974245349,5.90774899026601,5
"mse",-177.607462138378,5.7007156051724,10
"mse",-1012.22788042709,5.50927801015321,6
"mse",-794.159553333132,5.49836620657178,12
"mse",-776.983309902429,5.45429448629886,19
"rate_state",1359.61130661736,6.18509518388508,2
"rate_state",346.829578085519,6.13519319676317,15
"rate_state",1581.07199725411,5.9514667906322,3
"rate_state",400.465044354515,5.48793990040083,17
"rate_state",1588.33582411943,5.43725382124045,6
"rate_state",168.061654651113,5.40573077976756,9
"rate_state",-155.93372041338,5.37678652370154,3
"rate_state",1200.34425294295,5.3721601177762,14
"rate_state",-476.756126078783,5.30116634078752,4
"rate_state",27.1202210369539,5.29874174232841,3
